stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,1,6,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,27,0,0,2,0,0,1,0,2,0,1,11,0,0,0,0,37
 24-34,0,0,0,0,4.1,0,4.1,0,0,0.82,0,0,0,0,0.82,0.82,1.64,0,1.64,8.21,0,0.82,0.82,59.1,0,4.1,0,0,0,2.46,0,0,1.64,0.82,18.06,0,0,0.82,0,105.89
 36-46,0,0,0,0,2.42,0,4.83,1.61,0,0,0,0,0.81,0,0,2.42,0.81,0,1.61,7.25,0.81,0,0.81,90.23,0,5.64,0.81,0,0,0,0,0,1.61,0,14.5,0,0,0.81,0,76.54
 48-58,0,0,0,0,0.57,0,19.51,1.72,0,2.87,0,1.15,0,0,0.57,2.3,0.57,0.57,1.72,6.31,0,0,0.57,109.02,0,4.59,1.15,0,0,0,0,0,1.15,0,19.51,0,0,1.15,0,52.22
 60-70,0,0,0,0,8.83,0,40.24,6.87,0,4.91,0,0,0,0,0,5.89,0.98,0,0,15.7,0,1.96,0,148.21,0,4.91,0,0,0,0,0,0,1.96,0,17.67,1.96,0.98,0,0.98,43.19
 72-82,0,0,0,0,8.83,0,67.73,1.96,1.96,19.63,16.69,0,0,0,0,6.87,7.85,0,0.98,26.5,1.96,0,5.89,164.92,0,4.91,3.93,0,0.98,1.96,0,0,0,0,8.83,0.98,0.98,0.98,0.98,20.61
 84-94,0,0,3.19,0,14.87,1.06,40.36,4.25,0,11.68,10.62,1.06,0,3.19,0,8.5,8.5,0,2.12,14.87,0,1.06,1.06,67.97,0,22.3,2.12,0,0,1.06,1.06,0,0,0,7.43,4.25,0,4.25,0,11.68
 96-106,0,0,0,0,54.64,4.37,25.14,4.37,2.19,12.02,26.23,0,2.19,4.37,1.09,7.65,5.46,1.09,0,22.95,1.09,2.19,3.28,60.11,1.09,34.97,2.19,0,1.09,3.28,1.09,0,0,0,5.46,5.46,0,2.19,0,15.3
108-118,0,0,1.53,0,42.89,0.77,22.98,8.43,0.77,8.43,26.04,0,0.77,0,3.06,6.13,1.53,1.53,0,16.09,1.53,0.77,2.3,63.57,0,24.51,3.83,0,0,1.53,0,0,1.53,0,4.6,7.66,1.53,3.06,0,19.92
120,0,0,0,0,25.48,0,9.8,7.84,0,7.84,21.56,0,0,1.96,0,3.92,5.88,1.96,0,21.56,0,1.96,3.92,47.03,0,15.68,1.96,0,1.96,1.96,0,0,0,0,0,0,1.96,1.96,0,11.76
