stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,5,1,0,0,0,0,0,0,18,0,0,0,0,0,3,14,0,0,3,22,10,0,0,2,0,1,252,11,11,0,1,0,7
 24-34,0,0,0.82,1.64,0.82,0.82,4.93,0,1.64,0,0.82,0,0,10.67,0,0.82,0.82,0,0,29.55,4.93,0.82,0,4.93,52.53,0,0,0,0,2.46,0,165.81,3.28,10.67,0,8.21,0,31.19
 36-46,0,0,0,0,0.81,0,4.03,0,0.81,0,0,0,0,14.5,0,0,0,0,0.81,73.32,5.64,0,0,4.03,54.79,0.81,0.81,0,0,2.42,0,85.4,0,10.47,0,4.83,0,58.01
 48-58,0,0,0,0,0.57,0,11.48,3.44,0,0,3.44,0,0,5.74,0,0,0,0,0,48.2,7.46,0,0.57,2.3,49.92,0,0,0,0,2.3,0,40.17,0,8.03,0.57,3.44,0,32.71
 60-70,0,0,0,0,1.96,0.98,18.65,18.65,0,0,2.94,0,0,3.93,0,0,1.96,0,0,25.52,9.82,0,0,1.96,28.46,0,0,0,0.98,0.98,0,18.65,0,3.93,0.98,4.91,0,31.41
 72-82,0,0,0,0,1.96,0,77.55,24.54,0,0,5.89,0.98,0,4.91,0,0.98,0,0,0,26.5,14.72,0.98,0.98,5.89,37.3,0,0,0.98,0,0.98,0,11.78,0,0.98,2.94,4.91,0,6.87
 84-94,0,0,1.06,0,2.12,0,76.47,42.48,1.06,0,3.19,0,0,6.37,1.06,0,5.31,0,0,32.92,7.43,0,0,7.43,27.61,0,0,0,0,0,0,19.12,0,2.12,2.12,2.12,1.06,8.5
 96-106,0,0,0,0,2.19,2.19,86.33,49.18,0,0,3.28,3.28,0,10.93,0,0,3.28,1.09,4.37,25.14,9.84,1.09,2.19,6.56,27.32,0,0,3.28,1.09,3.28,0,20.76,0,0,0,2.19,0,0
108-118,0,0,0,0,1.53,1.53,75.83,48.26,0.77,0,4.6,0.77,0,8.43,0,0,7.66,0,0,13.02,5.36,0,1.53,0.77,16.85,0,0,3.06,0,1.53,0,16.09,0,1.53,2.3,4.6,0,1.53
120,0,0,0,0,5.88,0,94.07,27.44,0,1.96,3.92,0,0,3.92,0,0,1.96,0,0,3.92,7.84,0,1.96,3.92,21.56,0,0,3.92,0,0,0,9.8,0,3.92,0,3.92,0,0
