stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,12.59,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,13,0,3,0,0,0,4,0,0,1,0,0,0,9,0,16,29,38,1,0,0,0,0,3,0,52,9,7,0,0,3,0,0
 24-34,0,0,1.64,15.6,0,4.1,0,0,0,0,1.64,0.82,0,0,0,0,21.34,0.82,27.91,36.12,22.98,0,2.46,0,0,0,0,0.82,61.56,2.46,10.67,0,0,10.67,0,0
 36-46,0,0,0,7.25,0,1.61,0.81,0,0.81,0.81,0,0,2.42,0,0,0,41.09,1.61,16.11,20.95,12.09,0,0.81,0,0,0,0,0,45.12,0.81,9.67,0,0,2.42,0,0
 48-58,0.57,0,0,1.15,0,3.44,1.15,0,0,2.3,0,0,1.15,0,0.57,0,29.26,2.3,14.35,32.13,8.61,0,1.15,0,0,0,0,0,59.68,0,4.02,0,0,6.31,0,0
 60-70,0,0,0,4.91,0,10.8,4.91,0.98,0.98,8.83,0,0,0,1.96,0,0,29.45,2.94,20.61,44.17,4.91,0,0.98,0,0.98,0.98,0,0,35.33,0,4.91,0,1.96,3.93,0,0
 72-82,0,0,0,4.91,0,12.76,14.72,0,0,21.6,0.98,0.98,0,0.98,0,0,46.14,2.94,24.54,39.27,1.96,0,1.96,0,0,0.98,0,0,16.69,0,0.98,0,0.98,15.71,0,0
 84-94,0,0,0,4.25,0,10.62,13.81,0,1.06,16.99,0,0,0,2.12,0,0,20.18,6.37,18.05,26.55,2.12,0,2.12,0,0,2.12,0,1.06,26.55,0,7.43,0,0,9.56,1.06,1.06
 96-106,0,0,0,1.09,1.09,7.65,4.37,0,1.09,29.51,0,0,3.28,1.09,1.09,1.09,20.76,4.37,9.84,14.21,4.37,0,4.37,1.09,0,0,0,0,22.95,0,0,0,0,10.93,0,0
108-118,0,0,0.77,2.3,0,18.38,13.79,0,0,20.68,0,0,0,0,0.77,0,19.92,0.77,14.55,16.09,2.3,0.77,6.13,0,0.77,0.77,0,0,31.4,0,1.53,0.77,0,9.96,2.3,0
120,0,0,0,0,0,5.88,11.76,1.96,1.96,9.8,0,0,0,0,0,0,9.8,1.96,9.8,7.84,0,0,1.96,0,0,0,0,1.96,9.8,0,0,0,0,5.88,0,0
