stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,31.54,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,66.09,0,6.29,100.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.11,3.15,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,6,2,2,0,0,0,1,1,0,0,0,0,0,0,0,6,0,3,571,2,0,0,0,0,0,1,0,0,37,0,0,0,0
 24-34,0,0,0,5.75,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,5.75,0,3.28,681.31,0,0,0,0,0,1.64,0,0,0.82,108.35,0,0,0,0
 36-46,0,0,0,1.61,0,4.83,0,0,0,3.22,0.81,0.81,0,0,0.81,0,0,0,2.42,0,2.42,658.23,0,1.61,0,0,0,0,0,0.81,0,82.98,0,1.61,0,0
 48-58,0,0,0,1.72,0.57,21.8,0,0,0.57,13.2,0,0,0.57,0,0,0.57,1.15,0.57,6.89,0,0.57,557.74,0,0,0,0,0,1.72,0,0,0,29.26,0,0,0,1.15
 60-70,0,0,0,2.94,0,16.69,0,0,0,32.39,0,0,0.98,0,0,0,0,0,5.89,0,0,452.48,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,4.91,0.98,31.41,0,1.96,0.98,60.86,0,0,0,0,0,0,0,0,10.8,0,0,407.39,0,0.98,0,0,0,1.96,0,0,0,0.98,0,0.98,0,0
 84-94,0,1.06,0,12.74,0,49.92,0,1.06,1.06,41.42,1.06,1.06,0,1.06,0,0,0,0,7.43,0,1.06,317.55,0,0,1.06,0,0,2.12,0,0,0,10.62,1.06,1.06,2.12,1.06
 96-106,0,0,0,6.56,1.09,42.62,0,0,0,37.16,2.19,0,0,0,0,0,3.28,0,9.84,1.09,0,229.5,0,0,0,0,1.09,1.09,0,0,0,6.56,0,0,0,2.19
108-118,0,0,0,2.3,0.77,9.19,0,0.77,0,32.94,0,0,0.77,0,0.77,0,0,0,6.13,0.77,0,290.3,0,1.53,0,0,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,7.84,0,27.44,1.96,1.96,0,47.03,0,0,1.96,0,1.96,0,0,0,3.92,0,0,280.25,0,0,0,0,0,0,0,0,0,3.92,1.96,0,0,0
