stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,vasculature
 14-21,0,1,1,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0
 24-34,0,0,8.21,0,0,0,0,0.82,0,0,0,0,0.82,18.06,0,0,0,0,0.82,0
 36-46,0,0,7.25,0.81,0,0,0,0,0,0.81,0,0,0,17.72,0,0,0,0,2.42,0.81
 48-58,0,0,6.89,0,0.57,1.15,0,0,0.57,1.15,0,0,0.57,9.18,0.57,0,0,0,6.89,1.15
 60-70,0,0,16.69,0,0,0,0,0,0,1.96,0,0.98,0,10.8,0,0,0,0.98,2.94,0
 72-82,0,0,11.78,0,0,4.91,0,0,0,0.98,0,0.98,0,7.85,0,0.98,0,0,1.96,3.93
 84-94,1.06,0,16.99,0,0,0,1.06,0,0,5.31,0,0,0,8.5,0,0,0,0,0,1.06
 96-106,0,0,7.65,0,0,1.09,0,0,0,3.28,1.09,0,1.09,1.09,0,0,0,1.09,0,0
108-118,1.53,0,4.6,0,0,2.3,0,0,0,3.83,0,0,0,3.06,0.77,0,0.77,0.77,0,1.53
120,0,0,1.96,0,0,1.96,0,0,0,5.88,0,0,0,3.92,0,0,0,0,0,0
