stage,blastomeres,endocrine_pancreas,eye,gut,immune,liver,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.93,0.82,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,1.61,0.81,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,0,0,0,2.87,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0.98,0.98,0,2.94,0,0,0.98,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,10.93,0,0,0,1.09,0,0,2.19,0,1.09,1.09
108-118,0,0,0,0,8.43,0.77,0,0.77,1.53,0,0,0,0.77,0,0
120,0,0,0,1.96,7.84,0,0,0,5.88,0,0,0,0,0,1.96
