stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,4,2,5,0,0,0,0
 24-34,0,0.82,2.46,2.46,0.82,0,0,0,0,0,1.64,0,0,3.28,0,0.82,0,0,1.64,0,1.64,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0.57,2.3,0.57,0,0.57,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,1.15,0,0,0,0
 60-70,0,0,0,2.94,0.98,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,1.06,2.12,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,3.28,2.19,1.09,1.09,1.09,0,1.09,0,6.56,0,0,0,0,0,0,0,1.09,0,0,0,0,2.19,1.09,0
108-118,0,0,1.53,0,0,0.77,0,0.77,0,0.77,2.3,0,0.77,0,0.77,0,0,0,0.77,0,0,0,0.77,0.77,0,0.77
120,0,0,0,3.92,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
