stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,21.03,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,173.5,7.89,0,0,60.46,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,6.29,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,135.32,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,6,1,0,9,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,10,99,1,1,1,5,0,2,0,23,1,0,7,45,0,0,0,0,0
 24-34,0,0,0,0.82,4.1,0,0,16.42,0,0,0,3.28,0,0,0,0,0,0,0,0,0,15.6,0,2.46,145.29,0,1.64,1.64,0,0,5.75,0,0,0,0,2.46,55,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,48.34,0,0,0,4.83,0,0,0,0,0,0,0,0.81,0,9.67,0.81,1.61,129.71,0,0.81,0.81,0,0,4.03,0,0,0.81,0,0,47.53,0,0,1.61,0,0
 48-58,0,0,0,0,5.16,0,0,101.56,0,0,1.15,12.05,0,0,0,0,0,0,0,0.57,0,18.36,1.72,2.87,88.94,0,0.57,1.15,0,0,1.15,0,0,0,0.57,0,22.95,0,0,1.15,0,0
 60-70,0,0,0,0,0,0.98,0,115.82,0,0.98,0,13.74,0,0,0,0,0,0,0,0,0,16.69,0,0.98,62.82,0.98,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,50.06,0.98,0.98,0,9.82,0,0,0,0.98,0,0,0,0,0,26.5,2.94,1.96,54.97,0,1.96,0,0,0,4.91,0,0,0,0,0,4.91,0,0,1.96,1.96,0.98
 84-94,0,0,0,0,5.31,1.06,0,53.1,0,1.06,1.06,10.62,1.06,0,0,0,0,1.06,0,0,0,15.93,2.12,4.25,28.68,0,0,2.12,0,0,8.5,0,0,0,0,0,3.19,1.06,0,1.06,0,0
 96-106,0,0,1.09,0,2.19,1.09,1.09,29.51,0,2.19,0,7.65,4.37,0,0,2.19,0,0,0,1.09,0,16.39,0,0,27.32,0,2.19,2.19,0,1.09,5.46,0,0,0,0,0,0,0,1.09,1.09,2.19,0
108-118,0,0,0.77,0,3.06,0.77,0,25.28,0,2.3,0.77,6.13,0,0,0.77,0,0,0,1.53,0,0.77,11.49,0.77,3.83,36,0,0.77,1.53,0,0,5.36,0,0,0.77,0,0,0,0.77,0,1.53,0,0.77
120,0,0,0,0,7.84,1.96,0,25.48,0,1.96,0,7.84,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,33.32,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
