stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,1,0,5,0,0,0
 24-34,0,0,0.82,1.64,0,0,0,0,0,0.82,0.82,0,2.46,0,12.31,0,0,0,0.82,2.46,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0,4.83,1.61,0,0,1.61,2.42,0,0.81,0
 48-58,0,0,0,2.87,0,1.15,0,0,0,0,0,1.15,0,0.57,1.72,1.15,0,0,0,0.57,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,3.93,0,0.98,0.98,0,0,0,0,0,0.98,0,1.96,0.98,0,0,0,0.98,0,0.98,0
 84-94,0,0,1.06,2.12,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,4.37,0,0,0,0
108-118,0,0,0,0.77,0,1.53,1.53,0,0,0,0,0,0.77,0,0,0,0.77,0,1.53,0,0.77,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
