stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,22.98,0,0,0,0,0,4.93,0,0,0,0,0
 36-46,0,0,0.81,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.61,63.65,0.81,0,0,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,0,5.74,0.57,1.15,0,0,0,0,0,0.57,0,0,1.15,0,0,1.15,97.55,0,0,0,0,0,5.16,0,0,0,0,0
 60-70,0,0,0,0,0,53.98,0.98,6.87,0,0,0,0.98,0,2.94,0,0,4.91,0,0,0.98,174.71,1.96,0,0,2.94,0,12.76,0,0,0,0,0
 72-82,0,0,1.96,0.98,0.98,133.51,0,17.67,0,0,0,0,1.96,0.98,0,0,10.8,0,0.98,0,283.7,0.98,1.96,0,1.96,0,7.85,0.98,0,0.98,0,0.98
 84-94,0,0,1.06,2.12,0,59.47,0,11.68,2.12,1.06,0,1.06,0,3.19,0,0,5.31,0,0,0,157.18,0,1.06,0,0,0,5.31,0,1.06,3.19,1.06,0
 96-106,0,0,2.19,4.37,1.09,123.49,1.09,10.93,0,0,0,0,0,1.09,1.09,1.09,9.84,1.09,0,0,168.3,1.09,0,0,1.09,0,3.28,0,1.09,1.09,1.09,0
108-118,0,0,0.77,3.06,0.77,81.96,0,6.13,0,0,0,0,0,2.3,0,0,6.13,0,0,0,196.85,3.06,0,0,0.77,0.77,0.77,0,0,1.53,0,0
120,0,0,1.96,3.92,0,78.39,0,5.88,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,207.74,7.84,0,0,0,0,1.96,0,0,0,0,1.96
