stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,27,0,1,0,0,0,0,0,0,6,14,28,0,0,1,0,0
 24-34,0,0,1.64,0,3.28,0,3.28,0,0,0,0,0,0,0,0,0,0.82,9.85,0.82,3.28,0,0,2.46,232.3,0,12.31,5.75,0,0,0.82,0,0,0.82,0.82,136.26,0,0,0.82,0,0.82
 36-46,0,0,4.03,0,1.61,0,31.42,0,0,0,2.42,0,0,0.81,0,0,0,4.03,0,1.61,0,0,1.61,522.88,0,16.92,5.64,0,0,3.22,0,0,0,0,183.69,0,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,109.02,0.57,0,0,5.74,0,0,0.57,0,0,1.72,2.3,1.15,5.16,0,0,0.57,580.69,0,12.05,4.02,0,0,2.3,0,0,0,0,123.94,0,0,1.72,0,2.87
 60-70,0,0,0,0,3.93,0,428.93,0.98,0,0,12.76,0,0,1.96,0,0,3.93,4.91,0,4.91,0,0,0.98,1033.54,0,15.7,5.89,0,0,1.96,0,0.98,0,0,146.25,0.98,0,1.96,0,0.98
 72-82,0,0,0.98,0,13.74,0.98,634.15,0,0,2.94,43.19,1.96,0,1.96,0,0.98,4.91,1.96,0,28.47,0,0.98,0.98,1132.84,0,23.56,15.71,0,0.98,3.93,0.98,0,0,0,99.15,0,2.94,1.96,2.94,0
 84-94,0,0,1.06,0,14.87,0,483.23,0,1.06,0,36.11,2.12,0,4.25,0,3.19,2.12,0,0,18.05,0,0,0,722.19,2.12,13.81,29.74,0,0,5.31,0,0,0,0,56.29,0,2.12,0,1.06,1.06
 96-106,0,0,2.19,0,17.49,1.09,519.1,1.09,1.09,0,53.55,2.19,0,7.65,1.09,0,7.65,7.65,1.09,10.93,1.09,1.09,2.19,699.42,0,34.97,36.06,0,0,10.93,0,0,0,0,29.51,0,0,1.09,1.09,0
108-118,0,0,2.3,0,9.96,1.53,414.39,0.77,0,0.77,52.09,0.77,0,1.53,1.53,0,6.13,2.3,0,18.38,1.53,0,2.3,728.43,0.77,25.28,14.55,0,0,3.83,0,0,0,0,19.92,0.77,0.77,4.6,0.77,1.53
120,0,0,0,0,13.72,5.88,297.89,1.96,1.96,1.96,45.08,1.96,0,3.92,1.96,0,5.88,0,0,9.8,1.96,0,0,823.11,1.96,33.32,17.64,0,0,3.92,0,1.96,0,0,33.32,0,0,0,0,0
