stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,79.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,2.63,0,0,18.4,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,149.84,0,0,0,26.29,5.26,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,0,37.76,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,251.76,9.44,0,0,125.88,0,3.15,0,6.29,0,15.73,0,0,0,0,0,0
 14-21,0,0,1,5,55,2,8,0,0,0,4,1,0,6,0,0,0,0,0,2,8,0,0,18,142,4,2,1,5,16,1,72,1,200,985,49,0,0,1,0,1
 24-34,0,0,0.82,0.82,9.03,0.82,18.06,34.48,0.82,0.82,4.93,0.82,0,2.46,0.82,0.82,0,4.1,0.82,8.21,10.67,0,0,29.55,242.97,2.46,4.93,0.82,0,4.93,0,1.64,0,75.52,302.9,58.28,0,0,4.93,0,9.85
 36-46,0,0,0,0,8.86,0,13.7,70.9,0,0,8.86,0.81,0,8.86,0,0,0,1.61,0.81,0.81,4.83,0,0,27.39,120.85,0.81,0,1.61,0,2.42,0,0,0.81,59.62,15.31,40.28,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,0.57,13.77,19.51,0,0.57,4.59,0,0,2.3,0,0,0,0.57,0.57,3.44,3.44,0.57,0,28.69,56.23,0.57,0,0,0,3.44,0,0,0,26.4,0.57,9.75,0,0.57,0,0,0
 60-70,0,0,0,0,2.94,0,21.59,30.43,0.98,0.98,4.91,0,0,2.94,0,0,1.96,0,0,5.89,1.96,0,0,19.63,21.59,0,0.98,0.98,0,8.83,0,0,0,22.58,0,1.96,0,0,0.98,0,1.96
 72-82,0,0,0,0,2.94,0,29.45,22.58,0,0,6.87,0,0,2.94,0,0,0.98,0.98,0,1.96,10.8,0,0,27.49,17.67,0,0,0,0,8.83,0,0,0,3.93,0,0,0,0,2.94,0,1.96
 84-94,0,0,0,1.06,2.12,0,30.8,41.42,0,0,3.19,0,0,2.12,0,1.06,0,0,1.06,3.19,6.37,0,1.06,25.49,24.43,0,0,0,0,42.48,0,0,0,23.36,0,0,1.06,0,2.12,0,0
 96-106,0,0,0,0,1.09,1.09,17.49,83.06,0,0,3.28,0,0,4.37,0,1.09,0,1.09,2.19,2.19,12.02,1.09,0,22.95,25.14,0,2.19,0,0,22.95,0,0,0,25.14,0,0,0,1.09,3.28,1.09,4.37
108-118,0,0,0,0,2.3,0.77,15.32,140.17,0.77,0,6.13,0,0,3.06,0.77,2.3,5.36,0.77,1.53,2.3,9.96,0,0.77,54.38,21.45,0,0,0.77,0,7.66,0,0,0,24.51,0,0.77,0.77,0,0,0.77,0
120,0,0,0,0,1.96,1.96,13.72,129.35,1.96,0,1.96,0,0,1.96,0,0,0,0,1.96,0,3.92,0,0,47.03,19.6,0,1.96,0,0,5.88,0,0,0,13.72,0,0,0,0,0,0,3.92
