stage,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,3.22,0,0,0,0,1.61,0,0
 48-58,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0.98,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0.98,0,8.83,0
 84-94,1.06,0,0,1.06,1.06,0,0,0,1.06,0,0,0,0,0,6.37,0
 96-106,2.19,1.09,0,1.09,0,2.19,0,0,0,0,0,0,0,0,10.93,0
108-118,0.77,0,0,0,2.3,1.53,0,0.77,0.77,0,0,0,0,0,20.68,0
120,3.92,0,0,0,0,1.96,1.96,0,1.96,0,1.96,0,1.96,0,13.72,0
