stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,2.46,112.46,0,0,0,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,0,2.42,0,1.61,3.22,158.72,0,0,0,0,0,0,0,0
 48-58,0.57,0,0.57,0,0,1.72,0,0,0,0.57,0,0,0,0,0,0,0,28.69,0,0.57,5.16,124.52,0,0,0.57,0,0.57,0,0,0
 60-70,1.96,0,1.96,0,0,4.91,0,0,0,0,0,0,0.98,0,0,0,0,208.08,0,0.98,5.89,84.41,0,0.98,0.98,0,2.94,0,0.98,0.98
 72-82,0,0,3.93,0,0,12.76,0.98,0.98,0.98,5.89,0,0.98,0,0,0,0,0,563.47,0,0.98,21.6,79.51,1.96,5.89,2.94,0,0,0,0,0.98
 84-94,0,0,4.25,1.06,0,13.81,0,0,0,0,0,0,0,0,1.06,0,0,505.53,0,0,8.5,124.26,0,8.5,10.62,0,2.12,1.06,0,0
 96-106,0,0,8.74,0,1.09,5.46,0,0,0,1.09,0,0,0,3.28,0,0,1.09,310.37,1.09,0,5.46,81.96,1.09,13.11,2.19,0,0,0,1.09,0
108-118,0,0,3.06,0,0.77,6.89,0,0,0,3.06,0,0,0,1.53,0,0.77,0.77,245.11,0.77,0.77,6.89,100.34,0,16.85,3.06,1.53,0,0,0,0
120,1.96,0,11.76,1.96,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,3.92,272.41,0,0,3.92,105.83,0,21.56,0,0,0,0,0,0
