stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,208,0,0,0,0,0,0,0,1,1,2,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0
 24-34,0,0,0.82,3.28,247.9,0.82,0,4.93,0,0,0,0,0.82,0.82,0.82,0,6.57,0,0,9.03,0,4.93,2.46,0,2.46,17.24,0,0,6.57,0,0,0.82,0,15.6,0,4.1,0,0,0,0,0
 36-46,0,0,0,0,105.54,0,0,26.59,0,4.03,0.81,1.61,1.61,0,1.61,0,3.22,0,0,8.86,0,2.42,1.61,0.81,0.81,38.67,0,0.81,4.03,0,0,0.81,0.81,9.67,0,4.83,0,0,0,0,0
 48-58,0,0,0.57,0,76.89,0,0,241.57,0,8.03,4.02,2.3,0,0,1.15,0,6.89,0,0,11.48,0,13.77,1.15,1.15,1.72,37.3,0,0.57,12.05,0,0,1.15,0,5.16,0,6.89,0,0,0.57,0,0
 60-70,0,0,0,0,78.52,0,0,1234.75,0,12.76,3.93,6.87,3.93,0,0.98,1.96,10.8,0,0,13.74,0,39.26,3.93,2.94,0.98,62.82,0,0,22.58,0,0.98,0.98,0,7.85,0,6.87,0,0.98,0,0,0
 72-82,0,0,0.98,0,79.51,0.98,0.98,1983.94,0.98,5.89,10.8,64.79,10.8,0,0.98,2.94,23.56,0,0.98,16.69,0,55.95,1.96,6.87,5.89,203.2,0.98,0.98,33.38,0,0.98,3.93,0,3.93,0,5.89,0.98,1.96,0.98,4.91,3.93
 84-94,0,0,0,0,97.71,2.12,5.31,1116.2,1.06,21.24,5.31,63.72,6.37,0,3.19,1.06,28.68,3.19,1.06,22.3,0,42.48,2.12,3.19,1.06,151.87,0,3.19,37.17,0,1.06,7.43,0,22.3,0,8.5,0,1.06,2.12,3.19,0
 96-106,0,0,1.09,0,65.57,2.19,3.28,1078.64,0,7.65,2.19,44.81,8.74,0,4.37,5.46,33.88,1.09,1.09,18.58,2.19,40.44,2.19,5.46,4.37,122.4,0,3.28,64.48,0,0,5.46,0,15.3,1.09,2.19,2.19,2.19,2.19,0,4.37
108-118,0,0,0,0,67.4,0.77,16.85,639.58,1.53,9.19,3.83,25.28,7.66,0,0.77,1.53,25.28,0,0.77,25.28,0,29.87,0,2.3,4.6,110.3,0,2.3,45.96,0,0,1.53,0,16.85,0,0.77,0.77,0.77,0.77,2.3,0
120,0,0,1.96,0,92.11,0,5.88,460.55,1.96,25.48,5.88,50.95,5.88,0,0,0,11.76,0,1.96,25.48,0,41.16,1.96,5.88,3.92,166.58,3.92,3.92,43.12,0,0,3.92,0,9.8,0,3.92,0,0,0,1.96,0
