stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,visceral.smooth.muscle,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,3,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0,6.57,0,1.64,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,4.83,0,0.81,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,0,2.3,0.57,0,0,0,5.16,0,0,0,0,0,0,0,0
 60-70,0,0,0,4.91,0,2.94,0,0.98,0,0,12.76,0.98,0,0,0,0,1.96,0,0
 72-82,0,0,0,2.94,0,1.96,0,2.94,0,0.98,12.76,0,2.94,0,0,0,0.98,0.98,0
 84-94,0,0,0,4.25,1.06,0,0,0,0,0,1.06,0,0,0,2.12,0,0,0,0
 96-106,0,1.09,1.09,1.09,0,3.28,0,1.09,0,0,8.74,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0.77,0,2.3,0.77,0,6.89,0,0,0.77,0,0,0.77,0,0
120,0,0,0,3.92,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0
