stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,17,0,0,4,0,0,0,2,0,1,1,0,0,0,0,0,0,9,0,0,7,337,4,2,0,0,0,1,2,1,2,5,8,110,0,0,1,0,0
 24-34,0,0.82,24.63,0,0,25.45,1.64,4.93,0.82,9.03,1.64,1.64,3.28,0,2.46,0,4.1,1.64,6.57,21.34,0,0,19.7,1299.42,12.31,19.7,0.82,0,0,11.49,0,0,5.75,3.28,7.39,320.13,0,0,18.88,0,4.93
 36-46,0,0,12.09,0,0,43.51,1.61,2.42,0.81,41.09,0.81,0,5.64,0,10.47,0.81,1.61,0,12.09,29,0.81,0,12.09,1813.56,4.83,19.34,0.81,0,0,18.53,0,0,1.61,3.22,0.81,508.38,0,0,17.72,0,13.7
 48-58,0,0,10.33,0,0,188.78,7.46,7.46,1.15,92.96,1.72,0,2.87,1.15,4.59,0,5.16,0,17.21,51.64,1.72,1.72,8.61,1678.95,2.3,8.03,1.72,0,0,21.8,0,0,2.3,4.59,0,371.25,0,1.15,17.79,0,12.62
 60-70,0,0,14.72,0,0,479.96,9.82,11.78,0,97.17,0.98,0,3.93,0,6.87,4.91,8.83,0.98,10.8,85.39,1.96,4.91,12.76,1610.68,7.85,7.85,1.96,0.98,0,31.41,0,0,4.91,4.91,0,237.53,0,3.93,9.82,0.98,20.61
 72-82,2.94,0,22.58,2.94,0,492.79,8.83,6.87,2.94,124.67,13.74,0,6.87,0,21.6,7.85,2.94,1.96,8.83,131.54,0.98,13.74,12.76,1192.72,4.91,13.74,2.94,0,2.94,17.67,0,0,8.83,3.93,0,130.56,7.85,2.94,34.36,0.98,13.74
 84-94,1.06,0,45.67,2.12,1.06,319.67,8.5,16.99,2.12,87.09,26.55,2.12,5.31,3.19,26.55,7.43,5.31,5.31,21.24,87.09,2.12,16.99,9.56,631.91,7.43,15.93,4.25,0,0,40.36,0,0,19.12,6.37,0,75.4,38.23,3.19,25.49,2.12,11.68
 96-106,2.19,0,37.16,3.28,0,229.5,7.65,10.93,1.09,88.52,33.88,0,5.46,4.37,37.16,4.37,10.93,3.28,17.49,91.8,1.09,14.21,16.39,478.67,3.28,31.69,5.46,0,5.46,30.6,0,0,13.11,4.37,0,21.86,68.85,4.37,27.32,10.93,14.21
108-118,1.53,1.53,58.21,2.3,1.53,190.72,9.19,25.28,3.83,74.3,39.06,0,0.77,3.83,27.57,15.32,6.13,0.77,20.68,83.49,2.3,8.43,16.85,535.41,6.89,28.34,3.83,0,3.83,25.28,0,0,26.04,5.36,0,17.62,90.38,9.96,27.57,6.13,16.09
120,0,0,88.19,0,0,217.54,9.8,23.52,3.92,90.15,27.44,0,1.96,1.96,19.6,23.52,0,3.92,9.8,64.67,3.92,3.92,19.6,633.01,5.88,15.68,1.96,0,0,29.4,0,0,25.48,0,0,31.36,37.24,7.84,21.56,9.8,1.96
