stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,1,9,220,74,0,141,0,1,0,20,9,1,5,0,5,0,0,0,3,111,1,0,88,1093,36,5,20,32,0,7,3,175,4,13,197,330,0,0,14,0,0
 24-34,0.82,3.28,5.75,81.26,8.21,0,188.8,0.82,4.93,0.82,32.01,3.28,0,5.75,1.64,5.75,3.28,4.93,4.93,3.28,157.6,1.64,0,90.29,1374.93,16.42,14.78,18.88,0,0.82,23.8,0,1.64,8.21,4.93,28.73,327.52,0,0,66.49,0,2.46
 36-46,0,0,0,45.12,2.42,0,377.05,4.83,7.25,9.67,62.84,2.42,0,8.86,1.61,1.61,1.61,4.83,2.42,1.61,206.25,0.81,3.22,71.7,1837.73,11.28,11.28,17.72,0,0,24.98,0,0,3.22,2.42,1.61,376.25,0,0,38.67,0,4.83
 48-58,0,0.57,0.57,33.28,1.72,0,490.6,2.87,6.89,8.61,94.68,4.02,1.15,7.46,2.87,4.02,1.72,5.16,2.3,1.72,207.14,2.87,12.62,43.61,1075.88,3.44,10.9,12.62,0,0,11.48,0,0,1.72,2.87,0,223.21,0,1.15,35.58,0,4.02
 60-70,0,0,0,30.43,2.94,0,936.37,2.94,7.85,12.76,148.21,8.83,1.96,4.91,14.72,0.98,1.96,1.96,4.91,0.98,303.29,0,9.82,31.41,1320.15,6.87,5.89,10.8,0,1.96,16.69,0,0,1.96,1.96,0,178.64,0,3.93,27.48,0.98,2.94
 72-82,0,4.91,0,35.34,14.72,0,501.63,0,7.85,15.71,127.62,12.76,1.96,11.78,11.78,3.93,3.93,6.87,3.93,0,295.48,3.93,9.82,28.47,743.12,3.93,9.82,14.72,0,5.89,15.71,0,0,0.98,0,0,91.29,4.91,9.82,49.08,3.93,8.83
 84-94,0,1.06,0,55.23,15.93,0,320.74,2.12,7.43,9.56,82.84,23.36,1.06,3.19,29.74,9.56,6.37,7.43,3.19,0,193.29,1.06,13.81,41.42,406.76,7.43,6.37,22.3,0,1.06,46.73,0,0,7.43,2.12,0,48.85,3.19,4.25,53.1,6.37,8.5
 96-106,0,4.37,0,66.66,14.21,2.19,232.78,2.19,12.02,8.74,86.33,13.11,0,9.84,33.88,12.02,2.19,9.84,3.28,1.09,183.6,2.19,8.74,27.32,308.18,5.46,12.02,21.86,1.09,4.37,49.18,0,0,4.37,2.19,0,30.6,3.28,9.84,53.55,0,4.37
108-118,0,1.53,1.53,64.34,17.62,8.43,173.87,3.06,18.38,3.83,66.64,16.85,0,2.3,30.64,4.6,4.6,6.13,4.6,5.36,140.17,3.06,5.36,29.87,343.92,9.19,11.49,20.68,0,1.53,32.94,0,0,6.13,2.3,0,19.92,7.66,2.3,49.79,3.06,7.66
120,0,0,0,115.63,29.4,0,168.54,7.84,21.56,1.96,72.51,15.68,0,5.88,31.36,5.88,9.8,1.96,9.8,1.96,109.75,5.88,11.76,23.52,421.35,5.88,1.96,17.64,0,3.92,62.71,1.96,0,1.96,3.92,0,17.64,3.92,3.92,56.83,5.88,0
