stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,76,2,0,1,0,2,0,6,1,1,0,1,0,0,0,0,15,1,0,16,123,26,5,2,5,0,8,1,9,1,95,29,37,0,0,0,0,0
 24-34,0,0,99.32,2.46,0,8.21,0,5.75,6.57,2.46,0,0,0,0.82,0,3.28,0,0,56.64,0.82,0,63.21,178.13,18.88,4.1,13.13,0,0,28.73,0,0,0.82,45.15,6.57,32.01,0,0,2.46,0,0
 36-46,0,0,29.81,0,0,8.06,1.61,3.22,11.28,4.83,0,0,0,0,1.61,2.42,0,0,98.29,0,1.61,49.15,145.02,9.67,0,2.42,0,0,9.67,0,0,0.81,41.09,0.81,13.7,0,0,0,0,0
 48-58,0,0,13.2,0,0,16.64,1.15,4.59,8.03,4.02,0,0,1.15,0,0,5.74,0,0.57,87.22,1.15,5.74,30.41,117.63,4.59,0,1.15,0.57,0,8.61,0,0,0,32.71,0,12.62,0,0.57,1.15,0.57,0
 60-70,0,0,24.54,0,0,22.58,5.89,3.93,12.76,11.78,0,0,0,0,0.98,0.98,0,0,100.12,0,11.78,21.59,128.58,3.93,0,3.93,0,3.93,2.94,0,0,0,21.59,0,6.87,0,5.89,0,2.94,0
 72-82,0.98,0,12.76,0.98,0,24.54,4.91,3.93,13.74,25.52,0,0.98,1.96,0,1.96,5.89,0,0,88.35,0.98,13.74,16.69,140.38,5.89,0.98,13.74,0,2.94,6.87,0,0,0,7.85,0,9.82,0,5.89,0.98,15.71,0
 84-94,1.06,0,31.86,1.06,0,23.36,3.19,10.62,13.81,20.18,0,3.19,0,0,3.19,4.25,0,2.12,92.4,1.06,14.87,14.87,93.46,6.37,0,14.87,0,4.25,9.56,0,0,0,14.87,0,3.19,1.06,7.43,1.06,16.99,0
 96-106,1.09,0,18.58,1.09,1.09,18.58,6.56,4.37,8.74,29.51,1.09,0,1.09,0,0,10.93,0,2.19,61.2,0,12.02,14.21,98.36,0,0,18.58,0,4.37,7.65,1.09,0,0,20.76,0,0,0,9.84,1.09,25.14,0
108-118,0.77,0.77,15.32,0,0.77,13.02,4.6,3.06,5.36,28.34,0.77,0.77,0,0.77,1.53,1.53,0.77,2.3,38.3,0.77,9.19,10.72,88.09,4.6,0,18.38,0,3.06,3.83,0,0,0,22.98,0,0,0.77,10.72,3.06,10.72,0.77
120,0,0,3.92,0,0,17.64,0,1.96,0,37.24,1.96,0,3.92,0,0,0,1.96,0,33.32,0,9.8,13.72,97.99,1.96,0,11.76,0,5.88,5.88,0,0,0,7.84,0,0,0,1.96,1.96,11.76,0
