stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,20,2,0,0,0,2,0,0,32,0,0,0,0,0,24,0,0,23,34,0,3,0,2,0,0,1,0,1,5,11,0,22,0,0
 24-34,0,0,0,0.82,7.39,7.39,1.64,0,1.64,0,0.82,0,0.82,33.66,0,0,3.28,0.82,0,83.73,0,5.75,61.56,61.56,0,2.46,0.82,0,0.82,0,0,0,0,3.28,18.88,0,129.7,0,0
 36-46,0,0,0,0,4.83,4.03,4.83,0.81,1.61,0,0.81,0,0.81,34.64,0,0.81,0.81,0,1.61,66.87,0,26.59,92.65,40.28,0.81,0,0,0,0.81,0,1.61,0.81,0,0,10.47,0.81,141.8,0,0
 48-58,0,0,0,0,1.15,0.57,13.2,0.57,1.72,0,7.46,0,1.72,42.46,0.57,0,1.15,0,0,84.35,0.57,71.15,101.56,42.46,0,0,0.57,0,5.16,0,0.57,0.57,0,0,5.74,1.15,130.25,1.72,0
 60-70,0,0,0,0,0.98,0.98,10.8,21.59,0,0,1.96,0,1.96,29.45,0,0,0,0,0,57.91,0,83.43,70.67,40.24,0,0.98,0,0,4.91,1.96,0,0,0,0,5.89,16.69,129.56,15.7,0
 72-82,0,0,0,0,2.94,0.98,28.47,34.36,0.98,0,5.89,0.98,1.96,69.7,0,0,1.96,0,0,81.48,0,110.93,101.11,32.39,0,0,1.96,0,8.83,2.94,0,0,0,0,4.91,38.28,247.38,71.66,0.98
 84-94,0,0,0,0,4.25,0,27.61,40.36,1.06,1.06,1.06,2.12,1.06,98.77,1.06,0,3.19,0,0,72.22,0,113.64,73.28,20.18,0,1.06,0,0,7.43,2.12,0,1.06,0,0,1.06,19.12,251.7,89.21,0
 96-106,0,0,1.09,0,3.28,0,18.58,54.64,1.09,2.19,7.65,1.09,2.19,137.7,0,0,1.09,2.19,0,67.76,0,73.22,73.22,32.79,0,1.09,0,0,10.93,3.28,0,2.19,0,0,0,16.39,325.67,102.73,1.09
108-118,0.77,0,0,0.77,2.3,0.77,13.79,32.94,2.3,0.77,5.36,0,1.53,82.72,0.77,0,0,1.53,0,68.94,0,56.68,50.55,26.81,0.77,0,0,0,11.49,2.3,0,3.06,0.77,0,0.77,8.43,242.81,61.28,0
120,0,0,0,0,1.96,5.88,17.64,31.36,1.96,1.96,5.88,1.96,0,113.67,0,0,0,0,0,62.71,0,52.91,35.28,19.6,0,0,1.96,0,23.52,0,0,1.96,0,0,0,13.72,282.21,60.75,0
