stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,neural,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,1.64,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,1.72,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.93,0,0.98,0,4.91,0,0,0,0,0,0,0
 72-82,6.87,1.96,0,0,5.89,0,0.98,25.52,0,0,3.93,26.5,0,0,0,0,0,0,0
 84-94,8.5,1.06,0,0,6.37,0,0,67.97,0,0,1.06,20.18,0,0,0,0,0,1.06,1.06
 96-106,9.84,0,1.09,0,4.37,0,1.09,124.58,1.09,0,2.19,46.99,1.09,0,1.09,1.09,1.09,1.09,1.09
108-118,11.49,1.53,0,0.77,3.83,0.77,1.53,153.19,0,0,2.3,53.62,0,0.77,1.53,0,0,0,0
120,1.96,0,1.96,0,0,0,0,137.18,0,1.96,0,25.48,1.96,0,3.92,0,0,0,0
