stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5,49,8,40,0,0,4,2,2,1,1,3,0,0,0,0,35,0,0,18,331,3,3,3,6,7,0,25,0,14,72,0,2,0,1
 24-34,0.82,0.82,17.24,4.1,123.95,0.82,0,8.21,0,0,0.82,0,2.46,0,0.82,0,0,63.21,0.82,0,22.16,686.24,0.82,6.57,7.39,0,5.75,0,0,0.82,3.28,134.62,0,9.03,0,0.82
 36-46,0,0,8.86,7.25,214.31,0,1.61,10.47,0.81,0,0.81,0.81,0,0,0,0,0.81,46.73,0,1.61,8.86,446.34,2.42,2.42,0.81,0,8.06,0,0,0,0,88.62,0,2.42,0,0
 48-58,0,0,6.89,1.72,253.62,0,1.15,11.48,1.15,0,0,0.57,1.15,2.87,0,0,0,48.2,0,2.3,9.18,218.05,0.57,0.57,1.15,0,1.72,0,0.57,0,0,31.56,0,2.87,0,0
 60-70,0.98,0,13.74,0.98,178.64,0,0,20.61,2.94,0,0,0.98,0,3.93,0.98,0,0,53,0,3.93,3.93,128.58,0,1.96,0,0,0.98,0,0,0.98,0,4.91,0,4.91,0,0
 72-82,0,0,7.85,3.93,63.81,0,0.98,9.82,0.98,0,0,0.98,0.98,0,0.98,0,0,37.3,0,2.94,3.93,81.48,0,0.98,1.96,0,0,0,0,0,0,2.94,0,0.98,0,0
 84-94,1.06,0,5.31,5.31,55.23,0,1.06,13.81,4.25,0,0,1.06,1.06,1.06,0,2.12,0,41.42,0,2.12,5.31,55.23,0,3.19,1.06,0,2.12,0,0,0,0,0,1.06,2.12,1.06,0
 96-106,0,0,4.37,0,29.51,0,0,6.56,0,0,0,2.19,1.09,0,0,0,0,20.76,0,1.09,4.37,34.97,0,0,1.09,0,3.28,1.09,0,0,0,0,0,2.19,0,0
108-118,0,0,1.53,6.13,37.53,0,0,7.66,3.06,0,0,1.53,1.53,0.77,0,0,0,10.72,0,0,2.3,49.02,0,0,0.77,0,0.77,0,0,1.53,0,0,0,0,0,0
120,0,0,3.92,9.8,80.35,0,1.96,9.8,1.96,0,0,1.96,0,0,0,1.96,0,13.72,0,0,3.92,99.95,1.96,0,3.92,0,1.96,0,0,0,0,0,0,7.84,0,0
