stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,2,3,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,7,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,4.1,7.39,0,0.82,0,0,0,4.1,0,0.82,2.46,0.82,0
 36-46,0.81,0,3.22,0,0,1.61,0,0,0,3.22,3.22,0,1.61,0,0.81,0,1.61,0,0,0.81,0,0
 48-58,1.72,0,1.15,0,0,0,0,0,0,1.72,2.3,0.57,0,0.57,0,0,0.57,0,0,2.3,0,0
 60-70,0,0,2.94,0.98,0.98,1.96,0,0,0,4.91,4.91,0.98,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0.98,2.94,0,0,4.91,0.98,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,3.19,0,0,0,2.12,0,0,2.12,2.12,0,2.12,4.25,1.06,0,0,0,0,0,0,0
 96-106,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09,2.19,1.09,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,0,1.53,0,0,0,3.06,0,0,2.3,3.06,0,0,1.53,0.77,0,0.77,0,0
120,1.96,0,3.92,0,0,0,0,0,0,1.96,0,0,7.84,1.96,0,0,1.96,0,0,0,0,0
