stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,1,2,13,0,0,0,0,0,0,0,0,28,2,0,1,0,3,3,10,0,0,0,0
 24-34,0,0,0.82,0,0,7.39,0,0,0,1.64,0,0,0,0.82,4.1,0,0,0,2.46,1.64,193.72,2.46,0.82,0.82,0,0,0,31.19,0,0.82,0,0
 36-46,0,0,0,0.81,0,32.23,0,0,0,0.81,0,0,0,0,0,0,0,0,4.83,0,319.85,0.81,0,0,0,2.42,0.81,30.62,0,1.61,0,0.81
 48-58,0,0,0,0,0,32.71,0.57,0,0,7.46,0,0,0,0,0,0,0.57,0.57,7.46,1.15,399.37,0,0.57,0,0,1.15,0,15.49,0,0,0,0.57
 60-70,0,0,0,0,0,19.63,0,0,0,16.69,0,0.98,0,0,0,0.98,0,0.98,5.89,0.98,380.83,0,0,0,0,1.96,0,14.72,0,0,0,0
 72-82,0,0,0,4.91,3.93,34.36,0,0.98,0.98,32.39,0,0.98,0,0.98,0,0,0.98,0.98,10.8,0,306.28,0,0,0,0,0,0,9.82,0.98,0.98,0.98,0.98
 84-94,0,0,0,7.43,0,35.05,0,0,0,12.74,0,1.06,0,0,2.12,0,0,0,10.62,0,163.55,1.06,0,2.12,0,1.06,0,7.43,0,1.06,0,0
 96-106,0,0,0,3.28,0,24.04,0,0,0,17.49,1.09,0,1.09,1.09,0,0,0,0,13.11,2.19,153,0,0,5.46,0,3.28,0,3.28,0,0,0,0
108-118,0,0,0,2.3,0,14.55,0,0,0,26.04,0.77,0,0,0.77,0,0,0,0,9.96,0,191.49,0,0.77,1.53,0,0.77,0,2.3,0,0,0.77,0
120,0,0,0,0,0,7.84,0,0,0,29.4,3.92,0,0,0,0,0,0,0,5.88,1.96,243.01,0,0,0,0,0,0,7.84,0,0,0,0
