stage,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,7.39,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0.57,0,0.57,9.18,0,0,0,0,0,0,0,0,0,0
 60-70,0,2.94,0,1.96,0,0,0,0.98,0.98,0,1.96,0,0,7.85,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,8.83,0,2.94,0,0,0,0,2.94,0,9.82,0,0,10.8,0,0.98,0,0,0,0,0,3.93,0,0
 84-94,0,5.31,5.31,0,0,1.06,0,1.06,14.87,1.06,36.11,1.06,0,9.56,0,0,0,0,0,0,0,7.43,0,0
 96-106,0,3.28,3.28,2.19,0,1.09,1.09,0,45.9,0,61.2,8.74,1.09,16.39,2.19,0,4.37,2.19,0,0,1.09,13.11,0,0
108-118,0.77,3.06,10.72,3.83,0.77,0,0,2.3,83.49,0,114.89,1.53,0,15.32,0.77,0,0.77,0,0,0.77,0,21.45,0.77,0.77
120,0,1.96,7.84,0,0,0,0,0,72.51,0,62.71,3.92,1.96,9.8,0,0,1.96,0,0,0,0,7.84,0,0
