stage,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,neural,otic,slow.muscle,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,0,0,0,0,0,2,7,0,3,0
 24-34,0,0,0.82,0,0.82,0,0.82,45.97,2.46,0,2.46,0
 36-46,0,1.61,0,0,0,0,0,93.46,0,0,1.61,0
 48-58,0,0,1.15,0,0,0.57,0,28.69,0,0.57,1.72,0
 60-70,0.98,0.98,0,0,0,0,0,9.82,0,0,0,0.98
 72-82,0,5.89,0.98,0,0,13.74,0,4.91,0.98,0,1.96,0
 84-94,0,1.06,0,0,0,5.31,0,3.19,1.06,0,0,2.12
 96-106,0,3.28,0,0,0,31.69,2.19,4.37,0,0,0,1.09
108-118,0,3.06,0,0.77,0,46.72,0,3.06,0.77,0,0,0
120,0,1.96,0,0,0,58.79,0,3.92,0,0,0,1.96
