stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,15.77,0,0,0,5.26,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,9.44,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,8,10,0,0,0,0,0,0,0,6,1,0,0,0,0,0,7,0,0,5,13,3,0,0,0,0,7,6,1,0,3,5,0,0,2,0,0
 24-34,0,0,0,8.21,11.49,0.82,0,0,0,0.82,0,0,0.82,0,0,0.82,7.39,0,0,0.82,9.03,8.21,0,7.39,18.88,0,0,0,0,0,35.3,0,0.82,0,2.46,1.64,0,0,13.13,0,0
 36-46,0,0,0,0.81,7.25,0,0,1.61,0,2.42,0,0.81,1.61,0,0,0,2.42,0,0,1.61,15.31,12.09,0,3.22,29.81,0,0,0,0,0,31.42,0,0,0,0,1.61,0,0,1.61,0,0
 48-58,0,0,0,0.57,8.03,0.57,0,1.15,0,2.87,0,2.3,1.72,2.3,0,0.57,2.87,0,0,0.57,9.18,8.03,0,1.72,14.92,0,0,0.57,0,0.57,18.36,0,0,0,0,1.72,0,0,2.87,0,0
 60-70,0,0,0.98,0,12.76,0.98,0,0,0,0.98,3.93,1.96,5.89,1.96,0,2.94,1.96,0,0,0.98,29.45,8.83,0,2.94,23.56,0,0,0,0,0,18.65,0,0,0,0,1.96,0,0,2.94,0,0
 72-82,0,0,1.96,0,14.72,5.89,0,8.83,0,2.94,7.85,16.69,14.72,0.98,4.91,6.87,6.87,0,0.98,0,48.1,24.54,0.98,5.89,22.58,0,0,0,0,1.96,10.8,0,0.98,0,0,1.96,0,2.94,7.85,1.96,0
 84-94,0,0,1.06,0,33.99,13.81,0,5.31,0,8.5,7.43,7.43,46.73,3.19,0,5.31,6.37,0,0,1.06,31.86,31.86,3.19,6.37,7.43,0,2.12,1.06,0,1.06,77.53,0,0,0,0,3.19,0,3.19,7.43,1.06,1.06
 96-106,0,0,2.19,0,28.41,6.56,0,12.02,1.09,7.65,6.56,16.39,42.62,0,2.19,6.56,8.74,0,6.56,0,84.15,27.32,4.37,8.74,26.23,1.09,5.46,1.09,0,1.09,50.27,0,2.19,1.09,0,2.19,0,1.09,7.65,3.28,0
108-118,0,0,2.3,0,62.04,0.77,6.89,5.36,0,17.62,8.43,19.15,81.96,0,1.53,6.89,5.36,0.77,0.77,0,78.89,19.15,2.3,7.66,18.38,0,3.06,0.77,0,1.53,53.62,0,1.53,0,0,3.83,0.77,1.53,6.13,2.3,1.53
120,0,0,0,1.96,74.47,15.68,1.96,5.88,0,21.56,13.72,31.36,48.99,0,0,11.76,11.76,0,5.88,1.96,119.55,13.72,1.96,3.92,27.44,1.96,5.88,1.96,0,1.96,41.16,0,0,0,0,1.96,0,1.96,17.64,3.92,0
