stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,taste
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,3.28,0
 36-46,0,0,0.81,0,4.03,0,0,0,1.61,0,0,0,6.45,0,0,0,0,0,0.81,4.03,0
 48-58,0,0,0,0,5.16,0,1.15,0,0,0,0,0,8.61,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,1.96,0,2.94,0,0,0,0,0,3.93,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,7.85,0,0.98,0,0,0,0,0.98,4.91,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,1.06,0,1.06,0,0,4.25,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,1.09,1.09,0,3.28,0,0,0,0,2.19,0,0,1.09
108-118,0,0,0,0,0.77,0,0.77,0,0,0.77,0,0,1.53,0,0.77,0.77,0,0.77,0,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0
