stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,4.93,0,7.39,0,0,7.39,4.1,0.82,0,0,0,0.82,0,11.49,0,0,7.39,0,0,2.46,0,0
 36-46,0,0.81,0,0,0.81,0,0,0.81,0,0,0.81,0,0.81,0,0,2.42,0,13.7,0,0,4.03,2.42,1.61,0,0,0,0.81,0,9.67,0,0,1.61,0,0,5.64,0,0
 48-58,0,1.15,0,0,2.3,0,0,2.87,0,0,0,1.15,0,0,0,1.72,0,10.33,0,0.57,2.87,1.72,1.15,0,0,0,0,0,5.16,0,0,1.72,0,0,2.87,0,0
 60-70,0,2.94,0.98,0,0.98,1.96,0.98,8.83,0,0.98,0,0.98,0,0,0,0.98,0.98,22.58,0.98,0,8.83,1.96,1.96,0,0,0,3.93,0,10.8,0,0,1.96,0,0.98,6.87,0,0
 72-82,0,5.89,0.98,0,20.61,3.93,12.76,51.05,1.96,0,2.94,8.83,0.98,0,0.98,4.91,0,168.85,0.98,3.93,10.8,10.8,5.89,0,0,0,12.76,0,28.47,0,0,6.87,1.96,3.93,24.54,7.85,0
 84-94,0,4.25,0,0,7.43,1.06,1.06,19.12,1.06,0,0,10.62,0,0,0,1.06,0,53.1,0,1.06,7.43,3.19,4.25,0,1.06,0,7.43,0,31.86,0,0,2.12,0,0,15.93,0,0
 96-106,1.09,10.93,1.09,0,9.84,3.28,5.46,14.21,4.37,0,0,5.46,2.19,0,1.09,4.37,0,86.33,2.19,2.19,8.74,9.84,1.09,1.09,3.28,3.28,20.76,0,46.99,0,0,6.56,0,3.28,16.39,3.28,1.09
108-118,0,16.85,0,0.77,7.66,7.66,7.66,37.53,7.66,0,0,11.49,0.77,1.53,0,5.36,0,87.32,0,3.06,9.19,12.26,4.6,0,4.6,1.53,21.45,0,65.87,0.77,0,1.53,1.53,1.53,27.57,2.3,0.77
120,0,29.4,1.96,0,11.76,3.92,5.88,25.48,23.52,0,3.92,21.56,1.96,0,0,11.76,0,80.35,0,1.96,5.88,13.72,19.6,0,0,1.96,58.79,0,50.95,0,0,0,0,1.96,21.56,1.96,0
