stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,visceral.smooth.muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,4,0,0,0,1,1,1,0,1,1,1,0
 24-34,0,0,0,0,0.82,0.82,0.82,0,3.28,0,0,0,0,1.64,0
 36-46,0,0,0,0,3.22,1.61,0,0,1.61,0,0.81,0,0,1.61,0
 48-58,0,0,0,0.57,8.61,0,0.57,0.57,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,10.8,0,0.98,0,3.93,0,0.98,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,5.46,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,6.13,0,0,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,5.88,0,0,0,0,0,1.96,0,0,0,0
