stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,spinal.cord
  3-4,224.02,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,6.13,0,0
  7-9,2.63,0,0,0,0,18.4,15.77,0,0
 10-12,0,0,9.44,0,0,18.88,15.73,3.15,3.15
 14-21,0,1,0,0,0,1,0,0,0
 24-34,0,0,0.82,0.82,0,1.64,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0
 60-70,0,0.98,0.98,0,0,0.98,0,0,0.98
 72-82,0,0,0.98,1.96,0,1.96,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,1.96,0,0,0
