stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0,0,0,1,0,3,1,0,0,2,6,0,0,0,0,0
 24-34,0,0,1.64,1.64,233.94,0,5.75,0,0,0,0,0.82,0.82,0,0.82,0,0,0.82,0,0,0.82,0,0.82,46.79,0,3.28,0,0,0,8.21,0,0,0,0.82,6.57,0,0,0,0,0
 36-46,0,0,0,0.81,321.46,0,7.25,0,0,0,2.42,0.81,0,0,0.81,0,0,0.81,0,0,7.25,0,0.81,65.26,0,0,0.81,0,0,16.92,0,0,0,0,11.28,0,0,0,0,0
 48-58,0,0,0,1.15,383.3,0,9.75,0,0.57,0,2.3,0.57,0,0,0,0,0,0.57,0.57,0,3.44,0,0.57,29.84,0,0.57,0,0,0,5.16,0,0,0.57,0,5.16,0,0,1.15,0,0.57
 60-70,0.98,0,0,0.98,363.16,0,13.74,0,0.98,0.98,7.85,0.98,0,0,0,0,0,0.98,0.98,0,4.91,0,0.98,25.52,0,0,0,0,0,4.91,0,0,0,0,2.94,0,0,0.98,0,0.98
 72-82,0,0,0,0.98,673.42,0,26.5,0.98,1.96,1.96,8.83,0,0,0.98,1.96,0.98,3.93,2.94,0,0,11.78,0,0.98,36.32,0,0.98,0.98,0,0,18.65,0,0,0,0,3.93,0.98,0,6.87,0,0.98
 84-94,0,0,0,2.12,584.12,0,13.81,3.19,1.06,1.06,3.19,2.12,0,0,2.12,0,3.19,2.12,0,0,9.56,0,2.12,23.36,0,0,1.06,0,0,18.05,0,2.12,1.06,0,3.19,1.06,0,3.19,1.06,1.06
 96-106,0,0,0,7.65,772.64,0,25.14,1.09,2.19,0,4.37,5.46,0,2.19,7.65,0,1.09,3.28,2.19,1.09,10.93,0,3.28,56.83,1.09,0,1.09,0,0,24.04,0,0,1.09,0,1.09,1.09,0,9.84,1.09,1.09
108-118,0,0.77,0,4.6,526.98,0.77,14.55,1.53,0.77,1.53,12.26,2.3,0,0.77,2.3,2.3,0,1.53,1.53,0,18.38,0,2.3,36.77,0.77,0.77,0,0,0.77,17.62,0,0.77,0,0,1.53,0.77,1.53,9.19,1.53,0
120,0,0,0,9.8,644.77,3.92,15.68,1.96,1.96,0,7.84,3.92,0,1.96,3.92,0,1.96,3.92,3.92,0,13.72,3.92,3.92,33.32,1.96,0,1.96,0,0,15.68,0,0,0,0,1.96,0,0,5.88,0,0
