stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,1.64,0.82,0,0,0,0,0,35.3,0,0,0,0,0,0,10.67,0,0,0,0,0
 36-46,0,0,0,0,0,0,16.92,0,0.81,0,0,0,0.81,0,0,0,0,0,0,110.38,0,0,0,0,0,1.61,24.98,0,0,0,0,0
 48-58,0,0,0,0,0,0,41.89,0,1.15,0.57,0,0,1.15,0,0,0,2.3,0,0.57,241.57,0,0.57,0,0,0,0.57,28.69,0,0,0.57,0,0
 60-70,0,0.98,0,0,0,0,198.27,0.98,4.91,0.98,0,0,0,0,0,0,2.94,0.98,0,654.68,0,0,0,0.98,0,0,55.95,0.98,0,0,0,0
 72-82,0,1.96,0,0.98,0.98,0,234.62,0.98,8.83,1.96,0,0,4.91,0.98,0.98,0.98,11.78,0.98,0.98,545.8,0,0.98,0,0,0,0,39.27,0,0,0,0,0
 84-94,0,0,0,4.25,0,1.06,144.44,1.06,10.62,2.12,0,0,16.99,0,1.06,0,3.19,0,0,316.49,1.06,0,1.06,1.06,0,4.25,18.05,1.06,0,0,1.06,1.06
 96-106,0,1.09,0,2.19,1.09,0,102.73,0,6.56,1.09,0,1.09,18.58,0,0,2.19,8.74,0,1.09,241.52,0,3.28,1.09,3.28,1.09,1.09,12.02,2.19,1.09,1.09,0,0
108-118,0,0.77,0,7.66,0,0,78.13,0,8.43,2.3,0,0,16.85,0.77,0,0,4.6,0,0.77,271.92,0,0.77,1.53,1.53,0,0.77,5.36,2.3,0,0,0,0.77
120,0,0,0,1.96,0,0,76.43,0,9.8,0,0,0,11.76,0,0,0,7.84,3.92,1.96,272.41,1.96,0,1.96,0,0,0,13.72,0,0,0,0,0
