stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0,0,4.1,0,0,1.64,0.82,0,0,0.82,0
 36-46,0.81,0,0,0,0,0,0,0,0,0,2.42,0,0.81,3.22,0,0.81,0.81,0,0,0,0,0
 48-58,1.15,0,0,0,0,0,0.57,0.57,0.57,0.57,3.44,1.15,0,2.3,0,0,0,0,0,0,0,0
 60-70,0.98,0,0,0,0,0,0,0,0,0.98,3.93,0,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0.98,0,0,0.98,4.91,1.96,0,0.98,0,0,1.96,0,0,0,0,0
 84-94,2.12,1.06,0,0,0,0,2.12,0,0,0,2.12,0,0,3.19,0,0,7.43,0,0,0,0,0
 96-106,2.19,0,0,1.09,0,5.46,0,0,4.37,0,0,2.19,1.09,5.46,1.09,0,13.11,0,0,0,0,0
108-118,6.13,0,0,0,0,5.36,0,0,2.3,0,0.77,1.53,2.3,0,0,0,16.85,0,0,0,0,0
120,3.92,0,0,0,1.96,3.92,0,0,3.92,0,3.92,1.96,1.96,0,0,0,33.32,0,0,0,0,1.96
