stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,59,0,0,0,0,0,1,0,5,10,59,0,0,0,0
 24-34,0,0,0.82,1.64,2.46,0,0,4.1,14.78,0,0,0,0,5.75,0,0.82,0,0,0.82,9.03,0,0,12.31,323.42,0,0,0,0,1.64,0,0,22.98,6.57,111.64,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,0,59.62,24.17,0.81,0,1.61,0,2.42,0,0,0.81,1.61,1.61,6.45,0,0,4.83,684.01,0,1.61,0,0,0,0,0,16.92,0.81,182.89,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,197.39,21.8,0,0,6.31,0,2.3,0,0,0.57,2.87,1.15,16.64,0.57,1.15,2.3,918.09,0.57,1.15,0.57,0.57,1.72,0,0,24.1,0,158.94,0,0.57,0,3.44
 60-70,0,0,0,0,2.94,0,0,497.63,19.63,0.98,0,28.46,0,1.96,1.96,0,2.94,2.94,0,15.7,0.98,0,9.82,1488.97,0,0.98,0.98,0,3.93,0,0,10.8,0,186.49,0,0.98,0,0.98
 72-82,0,0,0.98,0,4.91,2.94,0,481.01,16.69,0.98,0.98,40.25,0.98,0,0,0.98,3.93,5.89,0.98,42.21,0.98,1.96,2.94,1231,0,1.96,1.96,0.98,6.87,0,1.96,4.91,0,96.2,2.94,0.98,0.98,4.91
 84-94,0,0,0,0,7.43,1.06,0,263.39,14.87,0,2.12,36.11,0,1.06,0,0,1.06,12.74,0,21.24,0,6.37,2.12,627.66,0,0,0,0,3.19,0,0,8.5,0,56.29,0,3.19,3.19,1.06
 96-106,0,0,0,0,9.84,4.37,1.09,226.22,14.21,0,0,41.53,2.19,0,3.28,0,7.65,10.93,0,29.51,0,3.28,5.46,497.25,0,4.37,2.19,0,6.56,0,0,10.93,0,24.04,1.09,1.09,4.37,3.28
108-118,0,0,0,0,9.96,1.53,0.77,156.26,21.45,0,0.77,19.15,0,0.77,0,0.77,6.13,14.55,0.77,22.98,0,4.6,9.96,590.56,0.77,1.53,1.53,0.77,2.3,0,0,11.49,0,16.09,0,0,1.53,4.6
120,0,0,0,0,13.72,0,0,131.31,27.44,0,3.92,15.68,0,1.96,0,1.96,5.88,17.64,0,25.48,0,1.96,3.92,562.46,1.96,1.96,0,0,15.68,0,0,3.92,0,15.68,0,0,0,1.96
