stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,1251.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,631.35,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,118.29,7.89,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,72.38,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,20,3,0,3,0,1,0,5,0,0,0,0,0,0,0,0,12,0,0,9,62,1,0,2,2,0,0,0,9,9,0,4,24,0,0,0,0,0
 24-34,0,0,0.82,0,10.67,0,0,11.49,0,2.46,1.64,7.39,0,0,0.82,0,1.64,0,0,1.64,35.3,0.82,0,21.34,127.23,3.28,0,2.46,0,0,0,0.82,0,17.24,0.82,3.28,43.51,0,0,4.93,0,0
 36-46,0,0,0,0,4.83,0.81,0,10.47,0,0,3.22,6.45,0,0,0,0,0,0.81,0.81,0.81,69.29,0,1.61,17.72,97.49,0.81,0,0.81,0,0,1.61,0,0,6.45,0,0,29.81,0,0,0.81,0,0.81
 48-58,0,0,0,0,3.44,0,0,12.62,0,3.44,4.02,11.48,0,0,1.15,0,0,0.57,0,0.57,110.17,0,1.72,15.49,40.17,2.3,1.72,3.44,0,0,0.57,0,0,4.59,0,0,22.38,0,0,2.3,0,1.15
 60-70,0,0,0,0,3.93,0,0,18.65,0.98,2.94,4.91,10.8,0,0,2.94,0,0,2.94,1.96,0.98,172.75,0,1.96,19.63,37.3,0,1.96,3.93,0,0.98,1.96,0,0,3.93,0,0,6.87,0,3.93,1.96,0,1.96
 72-82,0,0,0,0.98,6.87,0.98,0,24.54,0,1.96,8.83,11.78,0,0.98,2.94,0.98,0.98,0,2.94,2.94,225.78,0.98,8.83,17.67,26.5,0,1.96,5.89,0,1.96,0.98,0.98,0,4.91,0,0,0.98,2.94,2.94,7.85,2.94,1.96
 84-94,0,0,1.06,0,7.43,0,0,20.18,0,5.31,3.19,11.68,1.06,0,1.06,1.06,4.25,4.25,2.12,6.37,146.56,0,5.31,10.62,13.81,1.06,0,2.12,0,2.12,1.06,0,0,8.5,0,0,1.06,12.74,5.31,7.43,1.06,3.19
 96-106,0,0,0,0,5.46,0,0,15.3,2.19,4.37,5.46,12.02,3.28,0,2.19,2.19,2.19,2.19,2.19,1.09,106.01,0,4.37,7.65,14.21,0,1.09,6.56,0,2.19,3.28,0,0,7.65,0,0,4.37,9.84,1.09,6.56,8.74,2.19
108-118,0,0,0.77,0,5.36,0,0.77,9.19,0,5.36,3.06,7.66,1.53,0,2.3,0.77,2.3,11.49,2.3,3.83,100.34,0,3.83,5.36,11.49,0,0,8.43,0,0,3.06,0,0,8.43,0,0,2.3,14.55,3.06,2.3,2.3,2.3
120,1.96,0,0,0,13.72,0,0,7.84,0,0,0,1.96,0,0,1.96,1.96,0,5.88,1.96,3.92,78.39,0,0,5.88,11.76,0,0,3.92,0,1.96,1.96,0,0,7.84,0,0,0,7.84,3.92,1.96,7.84,1.96
