stage,blastomeres,erythrocytes,eye,fin.epithelia,glial,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0.82,0.82,10.67,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,0,0,3.44,0,0,4.59,0,8.03,0,0,0,0
 60-70,0,0,1.96,0.98,0,0,11.78,0,0,2.94,0.98,17.67,0,0,0,0
 72-82,0,0,5.89,0,2.94,0,24.54,0,0.98,8.83,0,46.14,0.98,0,0,0
 84-94,0,0,0,0,1.06,0,41.42,1.06,0,2.12,0,56.29,0,0,0,0
 96-106,0,0,2.19,0,0,0,62.29,2.19,0,4.37,2.19,68.85,0,0,2.19,1.09
108-118,0,0.77,0.77,0.77,0,0.77,42.89,1.53,0,3.83,1.53,46.72,0,0.77,0,0
120,0,1.96,1.96,0,0,0,35.28,0,0,11.76,3.92,58.79,0,0,0,0
