stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,13.14,7.89,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,28,0,0,0,0,0,0,1,18,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,1.64,0,50.07,0,0,0.82,0,0,0,0,19.7,0,0,0
 36-46,0,0,3.22,0,4.03,0,0,0.81,0,0,63.65,0,0,0,0,0,0,0,12.89,0,0,0
 48-58,0,0,2.3,0,3.44,0,0.57,0,0.57,0,37.3,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0.98,9.82,0,1.96,0,2.94,0,39.26,0,0,0,0,0.98,0,0,16.69,0,0,0
 72-82,0,0,0,0,15.71,0.98,0,0,0,0.98,36.32,0,0,0,0,0,0,0,18.65,0,0.98,0
 84-94,0,0,0,0,10.62,0,4.25,0,3.19,0,15.93,0,0,0,0,0,0,0,8.5,0,0,0
 96-106,0,0,0,1.09,17.49,1.09,1.09,0,1.09,0,34.97,0,0,0,0,0,0,0,3.28,1.09,0,1.09
108-118,0,0,0,0,27.57,0,0,0,2.3,0,39.83,0,0.77,0,0,0,0.77,0,2.3,0,0,0
120,0,0,0,0,21.56,1.96,1.96,1.96,1.96,0,43.12,0,0,0,0,0,0,0,3.92,0,0,0
