stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,2,68,79,0,0,0
 24-34,0,0,1.64,0.82,3.28,8.21,0,0,0.82,0,0,0,1.64,9.03,22.16,0,0,0,0,0,25.45,92.76,2.46,0,0
 36-46,0,0,0,0,2.42,13.7,0,0.81,0.81,0,0,0.81,0,4.03,8.06,0,0.81,0,0.81,0,2.42,5.64,0,0.81,0
 48-58,0,0,0,0,2.87,13.2,0.57,0.57,0,0.57,0,0.57,2.3,1.15,11.48,0,0,0,0.57,0,4.02,0,2.87,0,0.57
 60-70,0,0,0,0,3.93,11.78,0,0,0,0,0,0,0.98,0,6.87,0,0,0,0,0,5.89,0,0.98,0,0
 72-82,0,0.98,0,0,1.96,4.91,0.98,0.98,0,0,0,0,0.98,0.98,2.94,0,0,0,0,0,1.96,0,0,0.98,0.98
 84-94,0,0,2.12,0,1.06,4.25,1.06,1.06,0,0,0,0,2.12,2.12,4.25,0,0,1.06,2.12,0,1.06,0,0,0,0
 96-106,0,0,0,0,3.28,9.84,0,0,0,0,1.09,0,1.09,1.09,6.56,0,0,0,0,0,3.28,0,1.09,1.09,0
108-118,0,0,0,0,1.53,7.66,0,0,0,0,0,0,0.77,2.3,1.53,0,0,0,0,0,4.6,0,0,0,0
120,0,0,0,0,0,11.76,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,3.92,0,0,0,0
