stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,1,0,0,0,0,0,0,0,0,0,4,0,0,28,2,0,0,0,0,3,0,2,10,0,0,0,0
 24-34,0,3.28,0,0,0.82,0,0,0,0,0,0,3.28,0,0,46.79,0,0.82,0,0,0.82,0,0,0.82,5.75,0,0,0,0
 36-46,0,8.86,0.81,0,0.81,0,0,0,0,0,0,1.61,0,0,33.84,0,0,0,0,0.81,0,0,0,8.06,0,0,0,0
 48-58,0,10.9,0,0,0.57,0,0,0,0,0,0,4.02,1.15,1.15,17.79,0,0,0,0,0.57,0,0.57,0,7.46,0,0,0,0
 60-70,0.98,7.85,0,0,2.94,0,0.98,0,0,0,0,6.87,0,0.98,25.52,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,8.83,0,0.98,1.96,0,0.98,0.98,0,0.98,0,5.89,0,0,18.65,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0
 84-94,1.06,8.5,0,0,0,0,0,1.06,0,0,0,4.25,0,0,4.25,0,0,0,1.06,0,0,0,0,1.06,1.06,1.06,0,0
 96-106,0,2.19,0,0,0,0,1.09,0,0,0,1.09,3.28,0,2.19,13.11,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0.77,3.83,0.77,0,3.83,0,0,0,0.77,0.77,0,0,0,0.77,6.13,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0.77
120,3.92,1.96,0,0,3.92,1.96,0,0,0,0,0,1.96,0,0,11.76,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0
