stage,blastomeres,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,otic,pgc,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,1,4,0,0,1,1,0
 24-34,0,0,0,0,0,0.82,0,9.03,0,0,0,1.64,0
 36-46,0,0.81,0,0,0,0.81,0,26.59,0,0,0,7.25,0
 48-58,0,4.02,0,0.57,0,0,0,21.8,0.57,0,0,3.44,0
 60-70,0,3.93,0,0,0,0,0,15.7,0,0,0,1.96,0
 72-82,0,3.93,0,0,0,0.98,0,16.69,0,0,0,0.98,0
 84-94,0,1.06,0,0,0,0,0,9.56,0,0,0,0,1.06
 96-106,0,1.09,1.09,1.09,0,2.19,0,8.74,1.09,0,0,0,0
108-118,0,1.53,0,0,0,1.53,0,8.43,0.77,0,0,0,0.77
120,0,3.92,0,0,0,0,0,7.84,0,0,0,0,0
