stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,23.66,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,6,0,5,29,0,0,0,1,1,7,1,22,13,0,1,0
 24-34,0,0,0,2.46,0.82,5.75,0,0,1.64,0,0,0.82,0,1.64,0,0,0,5.75,0,14.78,48.43,0,0,4.1,0,0,0,0,9.03,17.24,0,0.82,0
 36-46,0,0,0,0,0,4.03,0,0,4.83,0,0,0,0,0,0,0,0,4.03,0,2.42,14.5,0,0.81,0,0,0,0,0,0,3.22,0,0.81,0
 48-58,0,0,0,0,0.57,10.9,0.57,0.57,10.9,0,0,0.57,0,0.57,1.15,0,0,9.18,0.57,6.31,16.07,0.57,0.57,0.57,0,0,0,0.57,0,5.74,0,0.57,0
 60-70,0,0,0,1.96,0,7.85,0,1.96,19.63,0,0,0,0,1.96,0,0.98,0,10.8,0,1.96,19.63,0.98,0.98,0.98,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0.98,0,4.91,0,0.98,8.83,0.98,0,0.98,0,0,0,0,0,15.71,0,0.98,4.91,0,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,1.06,2.12,5.31,1.06,0,10.62,0,0,0,1.06,3.19,0,0,0,7.43,2.12,1.06,10.62,0,0,1.06,0,2.12,0,0,0,1.06,1.06,3.19,0
 96-106,1.09,0,1.09,6.56,2.19,2.19,0,0,13.11,2.19,0,1.09,3.28,0,0,1.09,2.19,7.65,1.09,1.09,4.37,0,2.19,0,0,1.09,0,0,0,2.19,1.09,2.19,0
108-118,0,0,0,4.6,1.53,3.83,0.77,0.77,9.19,0,0,0,2.3,0,0,0.77,0,4.6,0,0.77,6.89,0.77,0.77,0.77,0,0,0,0.77,0,1.53,0,1.53,0.77
120,0,0,0,3.92,0,5.88,1.96,0,7.84,1.96,0,0,3.92,1.96,1.96,0,0,1.96,0,0,1.96,1.96,1.96,0,0,7.84,0,1.96,0,0,0,1.96,0
