stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,49.95,0,0,26.29,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,7.39,9.03,0,0,0,0.82,0,0,0.82,12.31,0.82,0,0,0,0,0,0.82,1.64,0,1.64
 36-46,0,0,0,0,0,0,2.42,3.22,0,0,0,0,0,0.81,0.81,1.61,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,3.44,1.72,0.57,0,0,0.57,0,0,0.57,2.87,0,0.57,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0.98,2.94,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,2.19,1.09,0,0,0,0,0,2.19,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,4.6,1.53,0,0,0.77,0,0,0,1.53,0.77,3.06,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0
