stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,3,0,3,0,0,0,0,7,0,0,0,0,4,0,3,39,0,0,1,0,2,0,4,15,0,0,0
 24-34,0,0,0.82,3.28,0,0,0,0,27.91,0,0,0,0.82,5.75,0,0,119.84,3.28,0,0,0.82,0,0,0.82,32.01,0,0,0.82
 36-46,0,0.81,0.81,6.45,0,2.42,0,0,42.7,0,0,0,0,4.03,0,0,226.39,2.42,0,0,0,0,0.81,0,43.51,0,0,0
 48-58,0,1.15,0,29.84,0,2.87,0,0,39.59,0,0,0,0,0.57,0,0.57,191.65,1.15,0,0,0.57,0,0,0,32.13,0,0,0
 60-70,0,0,0,53.98,0,3.93,0,0,25.52,0,0,0.98,0,5.89,0,0,207.1,1.96,0.98,0,0.98,0,0,0,15.7,0,0,0
 72-82,0,1.96,1.96,26.5,0,1.96,0.98,0,34.36,0.98,0.98,0,0,4.91,0.98,0,151.18,0,0,0,0,0,0,0,15.71,0,0.98,0
 84-94,0,0,0,20.18,1.06,5.31,0,0,43.54,0,0,0,0,4.25,0,1.06,64.78,1.06,1.06,0,1.06,0,0,0,7.43,0,1.06,0
 96-106,0,2.19,1.09,13.11,0,4.37,0,0,34.97,1.09,0,1.09,0,6.56,0,1.09,42.62,2.19,0,0,1.09,0,0,0,2.19,0,0,0
108-118,0,3.06,0,5.36,0.77,1.53,0,0,38.3,0,0.77,0,0.77,4.6,0,0,56.68,0.77,0,0,0,0,0,0,3.06,0,0,0.77
120,0,0,0,13.72,0,0,0,0,33.32,0,0,0,0,3.92,0,1.96,47.03,1.96,0,0,0,0,0,0,0,1.96,0,1.96
