stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,21,6,11,0,0,0,10,0,0,1,0,0,0,1,8,0,0,8,143,3,1,2,2,0,1,17,1,16,60,0,0,1,0,0
 24-34,0,0.82,1.64,4.1,0,35.3,0,0,0,7.39,0.82,0,0,0,0,0,0.82,36.94,1.64,0,10.67,310.28,3.28,2.46,4.93,0,0,10.67,0,0,4.93,84.55,0,0,5.75,0,0.82
 36-46,0,0,0.81,1.61,0,44.31,0,0.81,0.81,16.11,0,0,0,0,0.81,0,0.81,29,0.81,0.81,11.28,242.51,0,0,1.61,0,0,1.61,0,0,0,69.29,0,0,2.42,0,0
 48-58,0,0,0,2.3,0,53.36,0,0.57,0,10.33,0,0,0,0,0.57,0.57,1.15,25.82,0,1.15,4.02,95.83,0.57,0,1.15,0,0,2.87,0,0,0,25.82,0,0,0,0,0.57
 60-70,0,0,0,0,0,100.12,0,0.98,0.98,16.69,0,0,0,0,0,0.98,0.98,47.11,0,1.96,5.89,108.95,0,0.98,0.98,0,0.98,1.96,0,0,0,24.54,0,0,2.94,0,0.98
 72-82,0,0,0,7.85,0.98,50.06,0,0.98,0.98,16.69,0,0,0,0.98,0,0,0,54.97,0,0.98,3.93,87.37,0,0,0,0,0,2.94,0,0.98,0,11.78,0,1.96,5.89,0,0
 84-94,0,0,0,5.31,0,50.98,1.06,1.06,2.12,8.5,1.06,0,0,2.12,1.06,0,0,24.43,1.06,3.19,2.12,54.16,0,0,3.19,0,0,1.06,0,0,0,5.31,0,0,3.19,0,0
 96-106,0,0,0,5.46,0,16.39,0,0,0,9.84,0,0,1.09,0,1.09,0,1.09,18.58,0,0,2.19,43.71,0,0,0,0,1.09,0,0,0,0,2.19,1.09,0,2.19,2.19,0
108-118,0,0,0,5.36,0,25.28,0,0,0.77,12.26,0.77,0,0,1.53,1.53,0,0,31.4,0.77,0,6.89,65.87,0,1.53,3.06,0,0.77,3.06,0,0.77,0,4.6,0.77,0.77,3.06,2.3,0
120,0,0,0,1.96,0,15.68,0,0,0,11.76,0,0,0,3.92,0,0,0,19.6,0,0,9.8,60.75,0,1.96,0,0,0,1.96,0,0,0,3.92,0,0,3.92,0,0
