stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,1,0,2,2,0,1
 24-34,4.1,0,1.64,0,0,0,0.82,4.1,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,1.61,0,0,0,0.81,4.03,0,1.61,2.42,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,1.15,0,4.59,0.57,0,0,0,9.18,0,1.15,4.59,0,0,0,0,0,0,0,0,0,0,0
 60-70,0.98,0,0.98,0,0,0,0,10.8,0,0,4.91,0.98,0,0,0,0.98,0,0,0,0,0.98,0
 72-82,0.98,0.98,3.93,0,0,0,0,9.82,0,0,8.83,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,1.06,0,7.43,0,0,0,0,11.68,1.06,2.12,2.12,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,1.09,0,5.46,0,0,2.19,0,19.67,0,2.19,5.46,0,1.09,0,0,0,0,0,0,0,0,1.09
108-118,3.83,0,9.19,0,0.77,1.53,0,12.26,0,0,2.3,0.77,0,0,0,0.77,0,0,0,0,0,0.77
120,1.96,0,15.68,0,0,0,0,11.76,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0
