stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,11,1,12,1,0,0,0,0,0,1,0,0,0,1,4,0,0,2,54,1,1,0,0,0,2,0,1,7,0,1,0,0
 24-34,0,11.49,0,9.03,0.82,0,1.64,0,0,0,0,0,0.82,0,0,16.42,0,0,9.03,148.57,1.64,1.64,2.46,0,0,22.98,0,0.82,4.93,0,7.39,0,0
 36-46,0,6.45,0,30.62,0.81,0,11.28,0,0.81,0,0,0,0,0,0.81,25.78,0.81,1.61,5.64,102.32,0,0,0,0,0,18.53,0,0,16.92,0,6.45,0,1.61
 48-58,0,4.02,0.57,123.94,1.72,0,18.36,0,0.57,0.57,0,0,0,0,0,21.8,0,0.57,2.3,97.55,0.57,0,0.57,0,0,12.62,0,0,8.61,0,2.87,0,0
 60-70,0,6.87,0,372,2.94,0,29.45,0.98,1.96,4.91,0,0,0,0,0,61.84,0,0.98,2.94,169.8,0,0,0.98,0,0,9.82,0,0,8.83,0,7.85,0,0
 72-82,0,0.98,0,331.8,0.98,0,33.38,0,0,4.91,0,0,0,0,0,52.03,0,1.96,1.96,95.22,0,0,0,0,0.98,5.89,0,0,1.96,1.96,10.8,2.94,0
 84-94,0,7.43,0,157.18,0,1.06,27.61,1.06,2.12,3.19,0,1.06,0,0,0,26.55,1.06,4.25,0,52.04,0,0,0,0,0,19.12,1.06,0,3.19,3.19,1.06,0,0
 96-106,0,5.46,0,165.02,0,0,40.44,1.09,1.09,10.93,1.09,2.19,0,0,0,21.86,0,0,0,56.83,0,2.19,1.09,0,0,33.88,0,0,0,1.09,8.74,2.19,1.09
108-118,0,6.89,0,120.26,2.3,0.77,19.92,0,0,12.26,0,0,0,0,0,18.38,0.77,2.3,0,43.66,0,0,0,0,0,11.49,0,0,0.77,0,2.3,1.53,0
120,0,5.88,0,82.31,0,1.96,11.76,1.96,0,5.88,0,0,0,1.96,0,15.68,0,1.96,0,27.44,0,0,0,0,0,5.88,0,0,1.96,0,1.96,0,0
