stage,blastomeres,endoderm,epidermis,eye,glial,heart,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,13.14,0,5.26,0,0
 10-12,0,9.44,0,3.15,0,0,0,0,18.88,0,6.29,3.15,0
 14-21,0,0,0,0,0,0,0,0,4,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,1.15,1.15,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
