stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,24.52,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,34.62,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,1,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,165,1,1,0,31,0,2,5,0,0,0,0,0
 24-34,0,0,1.64,0,0,9.85,0,0,0,0.82,0,0,0,6.57,0,2.46,0.82,0,0.82,0.82,0,0,9.85,29.55,2.46,3.28,0,89.47,1.64,0,5.75,0,0,0.82,0,0
 36-46,0,0,3.22,1.61,0,11.28,0,0,0,0.81,0,0.81,0,1.61,0,0.81,0.81,0,0.81,0.81,0,0.81,16.11,20.95,0,1.61,0,80.57,0.81,0,1.61,0,0,1.61,0,0.81
 48-58,0,0,4.59,0,0,19.51,0,1.72,0,8.61,0,0,0,3.44,0,1.72,0.57,0,3.44,1.15,0,0.57,19.51,12.05,0.57,1.72,0,46.48,0,0,8.61,0,0,2.3,0,0.57
 60-70,0,0,2.94,0.98,0,21.59,0,0.98,0,34.35,2.94,0,0,0.98,0,1.96,0,0,9.82,0.98,0,0,31.41,9.82,0,4.91,0,52.02,0.98,0,8.83,0,0.98,0.98,0,1.96
 72-82,0,0,5.89,1.96,0,46.14,0.98,0.98,0,60.86,12.76,0.98,0,7.85,0,2.94,0.98,0,14.72,0.98,0.98,0,51.05,7.85,0.98,6.87,0,69.7,0.98,0,4.91,0,0.98,0,0.98,0.98
 84-94,0,0,7.43,2.12,1.06,59.47,1.06,2.12,0,44.61,29.74,0,1.06,5.31,1.06,2.12,3.19,0,14.87,0,1.06,2.12,15.93,20.18,1.06,7.43,0,170.99,6.37,0,7.43,2.12,0,0,0,0
 96-106,0,0,8.74,1.09,0,53.55,0,2.19,1.09,54.64,38.25,0,0,5.46,2.19,7.65,4.37,0,12.02,2.19,0,1.09,34.97,12.02,3.28,7.65,0,138.79,1.09,0,1.09,2.19,1.09,5.46,1.09,1.09
108-118,0,0,9.19,5.36,1.53,76.6,2.3,5.36,0,38.3,49.79,0,0.77,12.26,1.53,3.06,3.83,0.77,8.43,1.53,0.77,0,42.89,10.72,1.53,6.89,0,133.28,3.83,0,2.3,1.53,0,1.53,0.77,2.3
120,1.96,0,19.6,1.96,1.96,39.2,0,5.88,0,39.2,72.51,0,0,5.88,1.96,11.76,1.96,0,9.8,3.92,0,1.96,54.87,21.56,1.96,11.76,0,107.79,5.88,0,1.96,0,0,1.96,0,0
