stage,epidermis,eye,glial,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,pronephros,slow.muscle,somites,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15
 14-21,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
 24-34,0.82,0,0,0,0,0,0,0,6.57,0,0,0,0,0,1.64
 36-46,0,4.83,0,0,0,0,0,0,7.25,0.81,0.81,0,0,0,3.22
 48-58,0,2.87,1.15,0,0,0,1.15,0.57,4.02,1.72,0,0,0,0,0
 60-70,0,11.78,0,0,0,0,2.94,0,4.91,0.98,0,0,0,0,2.94
 72-82,0,1.96,1.96,0,0,0,0,0,7.85,1.96,0,0,0,0,0
 84-94,0,2.12,1.06,0,0,0,4.25,0,5.31,1.06,1.06,0,0,0,0
 96-106,0,4.37,0,1.09,0,0,2.19,0,2.19,4.37,0,2.19,0,0,0
108-118,1.53,3.83,0,0.77,0.77,0.77,0.77,0,6.89,3.06,0,1.53,0,0,0
120,0,1.96,1.96,0,0,0,1.96,0,3.92,0,0,3.92,1.96,0,0
