stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,1,2,2,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,2.46,0,0,4.93,0,0,6.57,0,4.1,0,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0.81,0,2.42,0,0.81,0,0,0,0,0,0,0,9.67,0,0.81,23.36,0,1.61,0,0,0.81,0.81,0,0,0,3.22,0,0
 48-58,0,0,0,6.89,0,0,1.15,0,0.57,0,2.3,0,0,5.16,0,0.57,18.94,0,7.46,0,0,0.57,0,0.57,0,0,2.3,0,0
 60-70,0,0,0,18.65,0.98,0,2.94,0,0,0,1.96,0,0,2.94,0.98,0,14.72,0,11.78,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,21.6,0,0,3.93,0.98,0,0,8.83,0.98,0,11.78,0,0.98,17.67,0,31.41,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,11.68,0,0,3.19,2.12,0,1.06,9.56,0,0,1.06,0,0,19.12,0,39.3,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,19.67,0,1.09,1.09,4.37,0,1.09,25.14,0,0,8.74,0,1.09,10.93,0,60.11,0,1.09,0,0,0,0,0,0,0,0
108-118,0,1.53,0,19.15,0.77,0,3.06,6.89,0,0.77,16.09,0.77,0.77,2.3,0,0,19.15,0,43.66,0,0,0,0,0,0,0,0,0.77,3.06
120,0,0,0,7.84,1.96,0,3.92,0,0,0,9.8,0,0,5.88,0,0,11.76,0,45.08,0,0,0,0,0,0,0,0,1.96,1.96
