stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,20,0,0,0,1,0,2,5,2,2,0,0
 24-34,0,0,0,0.82,0.82,0,3.28,86.19,0,0,0,0,0.82,0.82,0,0,0,0,2.46,0,0,4.1,32.01,0.82,0.82,0,0,0.82,0,16.42,13.13,6.57,0.82,0.82
 36-46,0,0,0,0.81,0.81,0,8.06,229.62,0,0,0.81,0,0,0.81,0.81,0,0,0,4.83,0,0,3.22,24.98,0,0.81,0.81,0,2.42,0,12.09,1.61,9.67,1.61,0
 48-58,0,0,0,0.57,0.57,0,17.21,265.1,0,0.57,1.72,0,1.72,0,0,0,0.57,0.57,9.18,0.57,0,4.59,39.59,0,0.57,0.57,0,0,0,13.2,0,9.18,0.57,0
 60-70,0,0,0,0,0,0,18.65,157.04,0,0.98,5.89,0,0.98,0,0,0,0,0,8.83,0,0,3.93,33.37,0,0,0,0,1.96,0,8.83,0,5.89,0,0
 72-82,0,0,0,0,0,0,17.67,104.06,0,0.98,0,0.98,0.98,1.96,0,0,0.98,0,8.83,0,0.98,4.91,23.56,0,0,0,0,0.98,0,1.96,0,0.98,0,0.98
 84-94,0,0,0,1.06,2.12,0,10.62,215.59,1.06,0,6.37,1.06,3.19,0,1.06,0,0,0,22.3,0,0,12.74,24.43,1.06,1.06,0,0,2.12,0,15.93,0,2.12,0,0
 96-106,0,0,0,4.37,3.28,1.09,16.39,312.55,0,1.09,7.65,1.09,1.09,1.09,0,1.09,0,0,15.3,0,0,2.19,22.95,0,0,1.09,0,2.19,0,10.93,0,2.19,2.19,0
108-118,0,0,0,2.3,0.77,0,11.49,170.81,1.53,0,3.83,0.77,0,1.53,0.77,0.77,1.53,0,12.26,0,0.77,14.55,19.15,0.77,0,0,0,3.06,0,11.49,0,1.53,1.53,0
120,0,1.96,0,0,3.92,0,5.88,76.43,0,0,1.96,0,1.96,0,0,0,0,0,15.68,0,1.96,11.76,13.72,1.96,0,0,0,1.96,0,7.84,0,1.96,0,0
