stage,axial,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,periderm,pronephros,spinal_cord,taste
  7-9,0,13.14,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,25.18,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,12.31,0,0,0,2.46,0
 36-46,0,0,0,0,1.61,3.22,0,0,0,0,27.39,0,0,0,12.89,0
 48-58,0,0,0,0,43.04,6.31,0,0.57,0,0,54.51,0,0,0,8.61,0
 60-70,0.98,0,0,0,119.75,7.85,0,0,2.94,0,83.43,0,0,0,14.72,0
 72-82,0,0,0,0,172.77,10.8,0.98,0,0,0.98,65.77,0.98,0.98,0,0.98,0
 84-94,0,0,0,1.06,113.64,6.37,0,0,1.06,0,28.68,0,0,1.06,1.06,0
 96-106,0,0,0,0,77.59,5.46,0,0,2.19,0,15.3,0,0,0,0,1.09
108-118,0,0,0.77,0,39.06,0,0.77,0,0.77,0,14.55,0,0,0,0.77,0
120,0,0,0,0,23.52,7.84,0,0,0,0,35.28,0,0,1.96,3.92,0
