stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0.82,0,0,0,0,0,0,1.64,0,0,17.24,0,0,4.93,0,0,2.46,0,0,0
 36-46,0,0,0,2.42,0,0,0.81,0,0,0,0,0,2.42,0,0,20.95,0,0,2.42,0,3.22,8.86,0,0,0
 48-58,0,0,0,4.02,0,0,2.87,0,0.57,0,0,0,1.72,0,0,27.54,0,0,0.57,0,0.57,7.46,0,0,0
 60-70,0.98,1.96,0,7.85,0,0,7.85,0,0,0,0,0,15.7,0,0,27.48,0.98,0,0.98,0,0,6.87,0,0,0
 72-82,0,0,0.98,23.56,0,0,12.76,0,0.98,0,0,0,68.72,0,0.98,30.43,0,0,0,0,0,16.69,0.98,0.98,0
 84-94,0,0,0,14.87,1.06,0,7.43,0,0,1.06,0,0,57.35,0,2.12,11.68,1.06,0,0,0,0,5.31,0,0,1.06
 96-106,0,3.28,0,13.11,0,0,10.93,0,2.19,0,1.09,0,84.15,0,2.19,18.58,0,0,2.19,0,0,29.51,1.09,1.09,4.37
108-118,0,0.77,1.53,16.85,0.77,0,9.96,0,2.3,2.3,0,0.77,114.13,0.77,0.77,13.79,0,0,0,0,0,11.49,0.77,0,0
120,0,1.96,1.96,9.8,0,0,13.72,1.96,1.96,0,0,0,101.91,0,1.96,19.6,0,1.96,1.96,0,0,17.64,0,0,0
