stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,2.63,0,0,13.14,0,0,0,0,0,73.6,0,21.03,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0,0.81,4.03,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,13.2,0,0,0,0.57,0,0,0,0.57,2.3,0.57,0,0,0,1.15,0,0
 60-70,0,0,0,0,20.61,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,13.74,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,16.99,1.06,1.06,0,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,7.65,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,9.96,0.77,0,0,0,1.53,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
