stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.05,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,465.85,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,10.51,0,92,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,18.88,0,44.06,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,38,5,2,0,0,0,2,0,3,0,0,10,0,1,0,0,3,1,0,0,20,0,2,3,0,0,225,2,4,9,0,0,0,0,0
 24-34,0,0,0,0.82,10.67,0,6.57,0,2.46,0,0.82,0,0.82,0,0.82,17.24,0.82,1.64,1.64,0,2.46,4.93,0,1.64,59.1,0,5.75,6.57,0,0,284.84,0,1.64,61.56,0,0,0,0,0.82
 36-46,0,0,0,0,1.61,0.81,11.28,0.81,2.42,0.81,4.83,0,0.81,0,0,8.06,0,1.61,0.81,0,8.86,7.25,0,2.42,67.68,0,4.83,1.61,0,0,418.95,0,0,65.26,0,0,0,0,0
 48-58,0,0,0,0,8.03,0.57,22.95,0,3.44,1.15,6.89,0,4.02,0.57,0,8.03,0.57,1.72,0,0.57,8.03,7.46,0,2.3,82.05,0.57,1.72,5.16,0,0,428.63,0,0,31.56,0,0,0.57,0,0
 60-70,0,0,1.96,0,11.78,0,25.52,0,6.87,0,15.7,0.98,0.98,0,0,14.72,0,2.94,0,0,8.83,7.85,0.98,0,58.89,0,1.96,3.93,0,0.98,393.59,0,0,15.7,1.96,0,0.98,0,0.98
 72-82,0,0,3.93,0,31.41,1.96,19.63,0.98,3.93,0.98,19.63,2.94,2.94,0.98,0,21.6,0.98,3.93,0,0,11.78,10.8,0,0.98,61.84,0,1.96,10.8,0,0.98,411.32,0,0,12.76,1.96,0,2.94,0.98,0
 84-94,0,0,1.06,0,58.41,2.12,8.5,0,44.61,0,9.56,11.68,0,0,3.19,44.61,2.12,3.19,1.06,0,6.37,18.05,0,0,35.05,0,4.25,9.56,0,0,1334.98,0,0,5.31,5.31,1.06,2.12,0,0
 96-106,0,0,1.09,0,106.01,0,8.74,0,18.58,2.19,14.21,20.76,0,0,5.46,69.94,1.09,5.46,0,0,8.74,12.02,1.09,3.28,36.06,1.09,7.65,6.56,0,0,806.52,0,0,5.46,7.65,0,1.09,0,0
108-118,0,0,0.77,0,101.87,0,8.43,0.77,56.68,0,6.89,17.62,0,0.77,4.6,78.89,1.53,2.3,0.77,0,5.36,29.87,0,1.53,36.77,0,11.49,14.55,0,0,1063.16,0,0,1.53,19.92,0.77,0.77,0,0.77
120,0,0,0,0,66.63,0,9.8,0,58.79,0,5.88,5.88,0,0,1.96,37.24,0,7.84,0,0,5.88,15.68,1.96,1.96,27.44,0,13.72,3.92,0,0,615.37,0,0,3.92,15.68,0,0,0,0
