stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,neural,otic,periderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,13,0
 24-34,0,1.64,0.82,0,0.82,0,0,0,1.64,0,0,26.27,0
 36-46,0,3.22,0,0,0,0,0,0,0.81,0,0,12.89,0
 48-58,0,0.57,0.57,0,0,0,0,1.15,1.15,0,0,8.03,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,12.76,0
 72-82,0,0,0.98,0,0,0,0,0,3.93,0,0,17.67,0
 84-94,0,1.06,2.12,0,0,0,0,0,0,0,0,35.05,0
 96-106,0,1.09,0,0,0,3.28,1.09,3.28,2.19,0,1.09,73.22,0
108-118,0,1.53,0,0.77,0,0,0,1.53,0.77,0.77,0,45.19,0
120,0,0,0,0,0,0,0,0,1.96,0,0,37.24,0
