stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,110.14,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,133,0,0,0,10,0,1,0,0,0,0,0,0,0,0,5,1,0,11,10,0,0,0,1,0,0,0,21,0,0,103,2,0,0,0,0,0
 24-34,0,0.82,293.87,0,4.1,0,47.61,12.31,0.82,0,0,0.82,0,0,0,0,0,21.34,2.46,0,53.36,21.34,0,0.82,0,0,0,2.46,0,1.64,0,0.82,93.58,9.03,0,0,9.85,0,0
 36-46,0,0,165.16,0,1.61,0,69.29,16.11,0,0,0,0,0,0,0,0,0,22.56,0.81,0.81,26.59,15.31,0.81,4.03,0,0,0,0.81,0,0.81,0,0,0.81,8.86,0,0,9.67,0,0
 48-58,0,0,121.07,0,5.16,0,60.25,8.03,1.15,2.87,0,0,0.57,0.57,0,0,0,40.74,1.15,4.02,9.75,25.25,0,1.15,0,0,0.57,0.57,0,0,0,0,0,8.03,0,0.57,17.21,0,0
 60-70,0,1.96,138.39,0,15.7,0,85.39,9.82,0.98,9.82,0,0.98,0.98,1.96,0,0,0,32.39,0,16.69,3.93,20.61,0,0.98,0,0,0,1.96,0,0,0,0,0,7.85,0.98,9.82,9.82,2.94,0
 72-82,0,0.98,120.74,0,14.72,0.98,56.94,3.93,0.98,28.47,0,1.96,0.98,0,0,0,0,81.48,0.98,21.6,3.93,21.6,0.98,3.93,0,0,0,2.94,0,0,0,0,0,2.94,5.89,13.74,28.47,31.41,0
 84-94,0,0,217.72,0,20.18,0,67.97,11.68,1.06,69.03,0,0,1.06,6.37,1.06,0,0,63.72,2.12,26.55,3.19,9.56,0,1.06,0,0,1.06,5.31,0,0,0,0,0,2.12,36.11,13.81,39.3,38.23,0
 96-106,0,0,148.63,4.37,16.39,0,42.62,3.28,7.65,57.92,0,2.19,1.09,5.46,0,0,2.19,75.41,1.09,27.32,3.28,24.04,2.19,6.56,0,0,2.19,3.28,0,0,0,0,0,4.37,72.13,18.58,52.46,48.09,2.19
108-118,0,0.77,206.81,0.77,7.66,0,84.26,7.66,3.06,70.47,0,1.53,3.83,8.43,0,0,1.53,63.57,0.77,22.21,3.06,16.85,10.72,3.83,0.77,0,1.53,3.83,0,0,0.77,0,0,1.53,90.38,16.09,42.89,25.28,0
120,0,0,164.62,1.96,9.8,0,50.95,1.96,7.84,39.2,0,1.96,21.56,7.84,1.96,1.96,0,74.47,0,15.68,9.8,21.56,21.56,1.96,0,0,0,0,1.96,0,0,0,0,1.96,45.08,11.76,41.16,25.48,0
