stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.58,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.46,0,0,0,37.76,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,740,1,28,0,24,0,5,1,2,0,0,4,0,1,1,0,167,1,0,4,635,13,1,2,4,0,37,0,6,0,0,13,58,0,0,0,0
 24-34,0,0,0,267.6,0,27.09,0,101.79,12.31,8.21,2.46,0,0,0.82,0.82,0.82,0.82,0.82,1.64,430.95,4.1,0,10.67,873.39,5.75,0.82,1.64,0,0,57.46,0,0,0,4.93,32.01,63.21,0,0,0,0
 36-46,0,0,0,53.17,0,12.09,0.81,71.7,18.53,28.2,2.42,0,0,0.81,1.61,0,2.42,0,0,364.97,0,0,10.47,921.69,1.61,2.42,4.83,0,0,63.65,0,0,0,7.25,1.61,32.23,0,0.81,0,2.42
 48-58,0,0,0,29.26,0,48.2,0.57,82.05,21.8,28.12,1.72,0,0,0.57,0,0,5.16,0.57,1.15,464.78,0.57,0.57,7.46,780.37,0.57,2.3,12.05,0,0.57,58.53,0.57,0,0,2.3,0,34.43,0,0.57,0,4.02
 60-70,0.98,0,0,14.72,0,37.3,0,64.78,21.59,19.63,2.94,0,0,0,1.96,0,5.89,0,0,558.49,2.94,0,2.94,648.79,0,0,8.83,0,0,52.02,0,0,0.98,1.96,0,7.85,0.98,0.98,0.98,0
 72-82,0,0,0,38.28,0.98,79.51,0,67.73,21.6,29.45,4.91,0,0,0,0.98,0.98,12.76,0,0.98,674.4,0.98,7.85,3.93,595.87,0.98,0,10.8,0,0,53.99,0,0,0,0,0,14.72,1.96,1.96,0,2.94
 84-94,0,0,0,72.22,1.06,100.89,0,122.13,16.99,32.92,10.62,0,0,2.12,6.37,0,5.31,0,1.06,470.48,0,5.31,5.31,351.53,1.06,2.12,22.3,0,0,114.7,0,0,0,0,0,12.74,4.25,1.06,1.06,1.06
 96-106,0,0,0,71.04,4.37,101.63,1.09,121.31,16.39,37.16,6.56,0,1.09,0,3.28,1.09,10.93,1.09,1.09,401.07,3.28,9.84,2.19,311.46,0,1.09,20.76,0,0,104.91,0,0,0,0,0,9.84,2.19,1.09,1.09,0
108-118,0.77,0,0,48.26,3.06,28.34,0,122.55,10.72,18.38,4.6,0,0,3.83,4.6,1.53,2.3,0.77,2.3,394.47,1.53,3.06,1.53,444.26,0,0.77,26.04,0,0.77,58.98,0,0,0,0,0,7.66,0,0.77,0,1.53
120,0,0,0,45.08,5.88,29.4,0,68.59,5.88,21.56,1.96,0,0,1.96,1.96,0,1.96,0,1.96,276.33,0,1.96,1.96,446.83,0,0,15.68,0,0,47.03,0,0,0,1.96,0,3.92,1.96,0,0,0
