stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,1344.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,244,0,1,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0
 24-34,0,0,0,0,162.53,0,1.64,0,33.66,1.64,0,0,0,0,2.46,0,0.82,0.82,0,50.89,0,0.82,101.79,28.73,0,4.93,0,0,0,0,0,0,0,12.31,0,0,0,0,0
 36-46,0,0,0,0,83.79,0,3.22,0,24.98,3.22,2.42,0,1.61,0,0.81,0,0.81,0,0,158.72,0.81,4.03,73.32,60.43,0,9.67,0,0,0,0,0,0,0,21.75,0,0.81,0,0,0.81
 48-58,0,0,0,0,61.97,0.57,4.02,0,28.69,4.02,6.89,0,1.72,0,1.15,0,0.57,0,0,115.33,0.57,4.59,43.04,96.97,0,4.59,0.57,0,0,0.57,0,0,0,19.51,0,1.15,0,0,0
 60-70,0,0,0,0,108.95,0,17.67,0,44.17,3.93,2.94,0,5.89,0,0.98,0.98,1.96,0,0.98,155.08,0.98,12.76,35.33,221.82,0,6.87,0.98,0,2.94,0.98,0,0.98,0,21.59,0.98,7.85,0.98,7.85,0
 72-82,0,0,0,0,90.31,0,32.39,0,28.47,1.96,7.85,1.96,5.89,0,7.85,0,4.91,0,0,166.88,1.96,17.67,46.14,223.82,0,19.63,1.96,0,3.93,1.96,0,0,0,23.56,0.98,8.83,1.96,18.65,0
 84-94,0,0,0,0,144.44,0,46.73,1.06,58.41,1.06,7.43,1.06,6.37,0,5.31,0,1.06,1.06,0,148.69,1.06,24.43,28.68,100.89,1.06,8.5,0,0,1.06,11.68,0,0,0,5.31,6.37,11.68,0,20.18,0
 96-106,0,0,1.09,0,135.51,0,18.58,0,38.25,3.28,1.09,4.37,12.02,1.09,3.28,1.09,3.28,1.09,0,121.31,1.09,19.67,22.95,102.73,0,17.49,2.19,0,8.74,7.65,0,1.09,0,7.65,8.74,9.84,2.19,27.32,0
108-118,0,0,0,0.77,170.04,0.77,23.74,0,61.28,1.53,3.06,4.6,9.19,0,3.83,1.53,1.53,0,0,114.89,1.53,12.26,36.77,104.94,0.77,15.32,1.53,0,3.06,11.49,0,0,0,4.6,16.09,3.83,1.53,9.96,2.3
120,0,0,0,0,205.78,1.96,23.52,0,58.79,1.96,5.88,3.92,9.8,0,5.88,0,0,1.96,0,94.07,3.92,15.68,15.68,127.39,0,29.4,3.92,0,5.88,5.88,1.96,0,0,5.88,1.96,7.84,0,15.68,0
