stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,24,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
 24-34,0,0,0,8.21,0,0,9.03,0,4.93,0.82,6.57,0,0,5.75,0,0,0,0,0,0,11.49,0,0,0.82,1096.66,9.03,0,0.82,0,0,0.82,0,0,5.75,142.83,0,0,0,0,0
 36-46,0,0,0,12.09,0,0,34.64,0.81,0.81,1.61,179.66,0,0,7.25,1.61,0,0.81,0,0.81,0,52.37,1.61,2.42,10.47,4757.48,25.78,1.61,4.83,0,0,1.61,0.81,0.81,0,936.99,0,0.81,8.86,0,0.81
 48-58,0,0,1.15,11.48,0.57,0,91.81,2.3,2.3,5.16,387.89,0.57,0,12.05,0.57,0,2.3,1.15,0.57,1.72,133.12,0.57,4.59,17.79,2414.57,18.36,1.15,5.16,0,0.57,1.15,0,1.72,0,784.39,0,1.72,5.16,0,2.3
 60-70,0,0,0,11.78,0,0,69.69,2.94,5.89,3.93,405.37,0,0.98,7.85,2.94,0,0.98,0,0,0.98,212.99,0,7.85,15.7,1524.3,7.85,0.98,2.94,0,0,1.96,0.98,0,0,427.94,0,2.94,13.74,0.98,0.98
 72-82,0,0.98,0,14.72,6.87,0,93.26,0.98,0.98,2.94,371.07,0.98,0,21.6,3.93,0,0.98,0,0.98,1.96,208.11,0,8.83,14.72,940.43,4.91,3.93,7.85,0,0.98,0,0,0.98,0,142.34,3.93,3.93,14.72,2.94,0.98
 84-94,0,0,0,15.93,0,0,97.71,3.19,4.25,9.56,241.08,8.5,0,13.81,5.31,4.25,0,0,0,0,158.24,0,5.31,10.62,532.08,12.74,0,10.62,0,1.06,1.06,1.06,1.06,0,132.75,1.06,6.37,15.93,5.31,0
 96-106,0,0,0,15.3,1.09,0,63.39,5.46,4.37,3.28,182.51,2.19,0,24.04,8.74,3.28,1.09,1.09,1.09,0,100.54,0,2.19,7.65,367.2,3.28,0,14.21,0,1.09,1.09,0,0,0,45.9,2.19,4.37,15.3,7.65,0
108-118,0,0,0,19.92,0,2.3,42.13,2.3,3.83,5.36,140.17,1.53,0,9.19,6.89,0.77,4.6,1.53,1.53,2.3,55.92,0,2.3,3.06,429.71,1.53,1.53,10.72,0,0.77,0.77,1.53,0,0,25.28,0.77,2.3,9.19,4.6,0
120,0,0,0,7.84,0,0,21.56,9.8,1.96,0,92.11,0,0,15.68,3.92,0,0,0,3.92,0,43.12,0,1.96,3.92,360.6,1.96,0,7.84,0,1.96,5.88,0,0,0,21.56,0,1.96,11.76,1.96,0
