stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,8,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,80,1,0,1,3,1,4,6,27,0,0,0,1
 24-34,0,1.64,0,27.09,0,0,0,3.28,0.82,0,0,0,0.82,0,0,0,0,17.24,0,0,8.21,170.74,0,0.82,4.1,0,4.1,0,0.82,25.45,0,4.1,0,0
 36-46,0,4.03,0.81,29.81,0,0,0,5.64,0,0,0,0.81,0,0,0,0.81,0,14.5,0,0,3.22,98.29,1.61,0.81,1.61,0,0.81,0.81,0,24.98,0,3.22,0,0
 48-58,0,1.72,0.57,33.85,0,2.87,0.57,3.44,0.57,0.57,0.57,0,0,0,0,0.57,0,8.61,1.15,0.57,2.3,51.64,1.15,0,1.15,0,0.57,0,0,9.75,0,0.57,0,0
 60-70,0,3.93,0,20.61,0,0.98,0.98,7.85,1.96,0,0,0,0,0,0,0,0,11.78,0,0,2.94,40.24,1.96,0.98,0,0,0.98,0,0,6.87,0,1.96,0,0
 72-82,0,5.89,0.98,46.14,0,0,2.94,11.78,0,0,3.93,0,0.98,0.98,0.98,0,0,56.94,0.98,0,4.91,71.66,0.98,0,0,0,2.94,0,0,7.85,0,2.94,0.98,0
 84-94,0,6.37,2.12,22.3,0,0,1.06,8.5,3.19,0,1.06,2.12,1.06,0,1.06,1.06,0,29.74,0,1.06,0,31.86,0,0,2.12,0,3.19,0,0,4.25,1.06,3.19,0,0
 96-106,0,4.37,1.09,15.3,1.09,0,0,6.56,0,0,0,0,0,1.09,0,0,0,14.21,0,0,3.28,16.39,1.09,0,1.09,0,0,0,0,2.19,0,1.09,1.09,0
108-118,0,4.6,1.53,14.55,0.77,0,1.53,7.66,3.06,0,0.77,1.53,0,0.77,0,0.77,0,16.85,0,0.77,3.06,29.87,0,0.77,3.06,0,1.53,0,0,0.77,0,1.53,0,1.53
120,0,11.76,5.88,33.32,0,3.92,1.96,9.8,0,0,0,5.88,0,0,1.96,1.96,1.96,15.68,0,1.96,1.96,35.28,0,0,0,0,3.92,0,0,1.96,0,1.96,3.92,0
