stage,blastomeres,epidermis,eye,glial,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,1.15,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,1.06,3.19,0,1.06,0,4.25,1.06,0
 96-106,0,1.09,1.09,1.09,0,1.09,0,1.09,0,0,3.28,0,1.09,0,1.09,1.09,2.19
108-118,0,0,0.77,0,0,0,0.77,0.77,0.77,0.77,2.3,0,0.77,0,1.53,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
