stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,68.35,0,0,0,47.32,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,186.64,2.63,0,0,68.35,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,25.18,0,0,0,50.35,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,588.48,3.15,0,0,91.26,0,0,0,0,6.29,0,9.44,3.15,0,0,0,0
 14-21,0,0,0,5,26,18,0,18,0,0,0,4,2,0,2,1,1,0,0,0,29,0,0,5,321,4,0,1,5,0,4,0,3,2,3,25,72,0,0,3,0
 24-34,0,0,0,0,8.21,2.46,0,32.01,0,0,0,4.1,0.82,0,5.75,3.28,0,0.82,0,0.82,42.68,0,0.82,10.67,273.35,9.03,0,2.46,0,0,4.93,0,0,4.1,0.82,2.46,64.85,0,0,15.6,0
 36-46,0,0,0,0,5.64,0.81,0,24.98,1.61,0.81,0,12.09,3.22,0,9.67,1.61,1.61,0,0,0,45.92,0,0,12.09,248.95,9.67,1.61,1.61,0,1.61,4.83,0.81,0,1.61,0.81,0,41.89,0,0,9.67,0.81
 48-58,0,0,0,0,8.03,0,0,36.72,0,0,0,25.25,1.72,0,5.74,0.57,0.57,0,0,0,39.59,0,3.44,5.16,193.37,8.61,0.57,2.3,0,0.57,4.02,0,0,0.57,0,0,22.38,0,0,2.87,0
 60-70,0.98,0,0.98,0,17.67,0.98,0,38.28,0,2.94,0,43.19,0,0,8.83,5.89,0,0.98,0.98,0.98,63.8,0.98,4.91,9.82,230.66,8.83,0,0,0,3.93,6.87,0,0,0,0,0,14.72,0.98,3.93,3.93,0
 72-82,0,0,0,0,20.61,1.96,0,47.12,0,0,0,90.31,0.98,0.98,8.83,2.94,0,0,0.98,0.98,72.64,0.98,9.82,8.83,273.88,2.94,0,5.89,0,4.91,5.89,0,0,0.98,0,0,7.85,0,0.98,8.83,3.93
 84-94,0,0,0,1.06,37.17,0,1.06,39.3,0,0,1.06,56.29,8.5,0,5.31,0,3.19,1.06,0,3.19,58.41,0,16.99,4.25,131.69,1.06,0,3.19,0,3.19,10.62,0,0,2.12,0,0,7.43,2.12,2.12,7.43,11.68
 96-106,0,0,0,0,31.69,1.09,0,39.34,0,1.09,0,78.68,4.37,0,7.65,9.84,0,0,3.28,1.09,71.04,0,12.02,6.56,118.03,5.46,1.09,6.56,0,10.93,27.32,0,0,1.09,0,0,4.37,1.09,0,6.56,15.3
108-118,0,0,0,0,36.77,0.77,0,39.06,0.77,2.3,0.77,63.57,11.49,0,3.83,12.26,3.06,0,1.53,0.77,47.49,0,8.43,8.43,152.43,10.72,2.3,3.06,0,7.66,13.02,0,0,4.6,0,0,2.3,3.06,0.77,3.83,4.6
120,1.96,0,0,0,33.32,1.96,0,39.2,1.96,3.92,0,70.55,11.76,0,7.84,15.68,3.92,0,5.88,3.92,29.4,0,1.96,15.68,211.66,11.76,1.96,1.96,0,1.96,13.72,0,0,0,0,0,5.88,3.92,0,11.76,7.84
